,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,PMP100_OnCourt,PMP100_On_Off,BadPassTO,LostBallTO,FoulC_Shoot,FoulC_Off,FoulD_Shoot,FoulD_Off,PGA,And1,Blkd,Season
292,232,Orlando Johnson,SG,26,TOT,7,101,24%,76%,,,,-18.0,-12.5,3,1,5,0,3,0,4,0,3,2016
293,232,Orlando Johnson,SG,26,PHO,2,47,41%,59%,,,,-3.1,4.2,1,0,2,0,2,0,0,0,1,2016
294,232,Orlando Johnson,SG,26,NOP,5,54,9%,91%,,,,-30.3,-26.8,2,1,3,0,1,0,4,0,2,2016
295,233,Stanley Johnson,SF,19,DET,73,1687,,36%,63%,2%,,-3.1,-6.1,41,29,77,22,43,3,282,14,35,2016
296,234,Tyler Johnson,SG,23,MIA,36,863,52%,48%,,,,0.6,-1.8,24,14,40,4,27,7,182,12,20,2016
297,235,Wesley Johnson,SF,28,LAC,80,1666,,1%,60%,38%,,2.2,-3.8,33,10,97,4,23,2,117,9,8,2016
298,236,Nikola Jokić,C,20,DEN,80,1733,,,,5%,95%,2.3,9.5,45,28,94,15,73,9,438,22,57,2016
299,237,Dahntay Jones,SF,35,CLE,1,42,14%,86%,,,,-1.3,-7.9,0,0,4,0,0,1,5,0,2,2016
300,238,James Jones,SF,35,CLE,48,463,,1%,43%,57%,,-3.8,-11.7,7,2,20,4,11,2,34,4,3,2016
301,239,Terrence Jones,PF,24,HOU,50,1044,,,,77%,23%,-11.2,-15.2,15,16,36,10,57,1,104,16,39,2016
302,240,Tyus Jones,PG,19,MIN,37,573,100%,,,,,-10.2,-8.1,27,5,19,1,16,4,243,3,12,2016
303,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2016
304,241,DeAndre Jordan,C,27,LAC,77,2598,,,,,100%,9.0,13.3,36,33,119,20,146,8,207,37,20,2016
305,242,Cory Joseph,SG,24,TOR,80,2046,43%,57%,,,,7.2,4.9,44,40,64,11,59,10,602,13,46,2016
306,243,Chris Kaman,C,33,POR,16,112,,,,,100%,-14.0,-15.2,5,1,7,1,2,0,25,1,3,2016
307,244,Frank Kaminsky,C,22,CHO,81,1708,,,,,100%,-0.1,-5.2,13,22,70,16,63,2,245,17,48,2016
308,245,Enes Kanter,C,23,OKC,82,1721,,,,7%,93%,3.3,-7.0,21,32,91,34,121,1,82,30,79,2016
309,246,Sergey Karasev,SF,22,BRK,40,399,,50%,45%,5%,1%,0.5,9.0,16,6,14,0,7,7,81,1,3,2016
310,247,Sasha Kaun,C,30,CLE,25,95,,,,15%,85%,-1.6,-8.3,2,1,8,1,2,0,7,1,5,2016
311,248,Ryan Kelly,PF,24,LAL,36,470,,,,54%,46%,-0.8,10.8,5,9,24,3,26,3,47,6,13,2016
312,249,Michael Kidd-Gilchrist,SF,22,CHO,7,205,,,100%,,,15.3,13.1,1,3,4,1,14,0,24,7,8,2016
313,250,Sean Kilpatrick,SG,26,TOT,31,616,,41%,56%,3%,,-11.8,-7.0,11,13,18,6,31,5,70,5,14,2016
314,250,Sean Kilpatrick,SG,26,DEN,8,82,,94%,6%,,,-4.6,-1.5,1,2,6,1,4,1,7,0,0,2016
315,250,Sean Kilpatrick,SG,26,BRK,23,534,,33%,64%,3%,1%,-13.0,-6.3,10,11,12,5,27,4,63,5,14,2016
316,251,Brandon Knight,SG,24,PHO,52,1870,37%,59%,4%,,,-6.4,1.6,111,45,49,8,54,12,633,14,34,2016
317,252,Kyle Korver,SG,34,ATL,80,2401,,84%,16%,,,5.5,4.6,59,16,100,10,11,4,373,5,12,2016
318,253,Kosta Koufos,C,26,SAC,78,1482,,,,,100%,-6.9,-6.6,11,13,99,16,48,4,80,11,30,2016
319,254,Jeremy Lamb,SG,23,CHO,66,1227,,76%,25%,,,5.6,3.9,28,9,50,8,43,5,184,14,20,2016
320,255,Carl Landry,PF,32,PHI,36,569,,,,52%,48%,-10.3,0.4,6,8,32,4,36,2,81,7,16,2016
321,256,Shane Larkin,PG,23,BRK,78,1751,100%,,,,,-9.5,-3.5,93,37,59,3,46,16,773,13,31,2016
322,257,Joffrey Lauvergne,C,24,DEN,59,1041,,,,23%,77%,-9.7,-9.0,17,10,44,16,32,1,134,6,32,2016
323,258,Zach LaVine,SG,20,MIN,82,2294,35%,65%,,,,-6.1,-6.7,65,49,92,11,82,5,556,21,61,2016
324,259,Ty Lawson,PG,28,TOT,66,1411,100%,,,,,-6.1,-8.7,72,13,28,4,40,3,557,9,28,2016
325,259,Ty Lawson,PG,28,HOU,53,1176,100%,,,,,-7.8,-11.2,63,12,26,2,37,2,425,7,22,2016
326,259,Ty Lawson,PG,28,IND,13,235,100%,,,,,2.1,0.2,9,1,2,2,3,1,132,2,6,2016
327,260,Courtney Lee,SG,30,TOT,79,2334,,65%,34%,,,2.9,3.7,31,20,67,4,42,6,315,12,27,2016
328,260,Courtney Lee,SG,30,MEM,51,1489,,60%,39%,,,0.8,5.0,22,14,37,3,29,2,170,8,18,2016
329,260,Courtney Lee,SG,30,CHO,28,845,,74%,26%,,,6.6,4.8,9,6,30,1,13,4,145,4,9,2016
330,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2016
331,261,David Lee,PF,32,TOT,55,903,,,11%,71%,18%,-3.6,-5.9,26,27,56,10,42,4,203,9,42,2016
332,261,David Lee,PF,32,BOS,30,470,,,19%,69%,12%,-4.3,-8.6,18,14,23,4,22,1,130,3,27,2016
333,261,David Lee,PF,32,DAL,25,433,,1%,2%,73%,25%,-2.8,-3.0,8,13,33,6,20,3,73,6,15,2016
334,262,Alex Len,C,22,PHO,78,1821,,,,,100%,-8.0,-1.3,56,33,111,31,113,2,231,21,60,2016
335,263,Kawhi Leonard,SF,24,SAS,72,2380,,5%,90%,6%,,14.3,7.1,38,32,48,15,129,11,425,37,29,2016
336,264,Meyers Leonard,PF,23,POR,61,1333,,,,25%,75%,1.8,1.5,37,14,113,18,9,5,226,2,8,2016
337,265,Jon Leuer,PF,26,PHO,67,1255,,,,58%,42%,-3.2,6.0,43,22,75,5,49,3,172,13,30,2016
338,266,Damian Lillard,PG,25,POR,75,2676,98%,2%,,,,1.4,2.0,169,56,80,6,162,27,1214,37,93,2016
339,267,Jeremy Lin,SG,27,CHO,78,2048,37%,63%,,,,2.4,-0.9,65,53,65,17,108,25,556,15,65,2016
340,268,Shaun Livingston,PG,30,GSW,78,1520,64%,36%,,,,7.2,-6.2,47,15,63,10,44,5,550,15,18,2016
341,269,Kevon Looney,PF,19,GSW,5,21,,,10%,74%,16%,-44.0,-55.4,0,0,2,0,0,0,0,0,1,2016
342,270,Brook Lopez,C,27,BRK,73,2457,,,,,100%,-3.7,10.1,58,50,102,41,195,6,333,58,60,2016
343,271,Robin Lopez,C,27,NYK,82,2219,,,,,100%,-2.3,1.3,37,41,111,24,67,6,258,15,27,2016
344,272,Kevin Love,PF,27,CLE,77,2424,,,,40%,60%,8.8,5.8,79,33,68,17,128,12,444,17,52,2016
345,273,Kyle Lowry,PG,29,TOR,77,2851,100%,,,,,6.6,6.3,132,56,81,20,177,29,1141,26,74,2016
346,274,Trey Lyles,PF,20,UTA,80,1382,,,,85%,15%,-1.2,-4.7,30,11,58,11,40,5,161,11,15,2016
347,275,Shelvin Mack,PG,25,TOT,52,1058,92%,8%,,,,4.3,1.7,61,24,20,3,28,1,432,9,23,2016
348,275,Shelvin Mack,PG,25,ATL,24,179,94%,6%,,,,-9.5,-13.9,10,1,2,0,7,0,90,3,5,2016
349,275,Shelvin Mack,PG,25,UTA,28,879,92%,8%,,,,7.5,7.2,51,23,18,3,21,1,342,6,18,2016
350,276,Ian Mahinmi,C,29,IND,71,1816,,,,,100%,3.7,3.4,37,26,103,24,91,5,252,19,41,2016
351,277,Devyn Marble,SG,23,ORL,28,249,,52%,46%,2%,,-4.2,-2.7,1,4,13,0,10,1,30,2,3,2016
352,278,Boban Marjanović,C,27,SAS,54,508,,,,,100%,6.5,-5.8,8,10,32,4,48,0,47,12,13,2016
353,279,Kendall Marshall,PG,24,PHI,30,400,58%,40%,2%,,,-15.4,-5.2,31,8,14,1,7,2,166,1,5,2016
354,280,Jarell Martin,PF,21,MEM,27,380,,,1%,31%,68%,-5.0,-2.9,5,8,27,6,28,2,35,6,15,2016
355,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2016
356,281,Kevin Martin,SG,32,TOT,55,1095,,81%,18%,,,-5.8,-11.4,18,19,20,7,68,4,133,9,21,2016
357,281,Kevin Martin,SG,32,MIN,39,834,,95%,5%,,,-5.4,-2.6,12,16,17,6,57,3,104,5,15,2016
358,281,Kevin Martin,SG,32,SAS,16,261,,36%,62%,2%,,-7.2,-20.0,6,3,3,1,11,1,29,4,6,2016
359,282,Wesley Matthews,SF,29,DAL,78,2644,,35%,63%,2%,,2.2,6.8,34,32,67,6,42,19,361,7,39,2016
360,283,O.J. Mayo,SG,28,MIL,41,1090,3%,60%,35%,3%,,-2.1,2.7,44,14,45,9,14,8,257,3,17,2016
