,Rk,Player,Pos,Age,Tm,G,MP,PG_Pc,SG_Pc,SF_Pc,PF_Pc,C_Pc,PMP100_OnCourt,PMP100_On_Off,BadPassTO,LostBallTO,FoulC_Shoot,FoulC_Off,FoulD_Shoot,FoulD_Off,PGA,And1,Blkd,Season
61,44,Marco Belinelli,SF,27,SAS,80,2016,,26%,68%,6%,,7.4,-1.7,55,23,52,9,48,16,419,19,31,2014
62,45,Anthony Bennett,PF,20,CLE,52,663,,,13%,86%,,-6.3,-3.4,10,10,35,16,32,2,37,3,15,2014
63,46,Patrick Beverley,PG,25,HOU,56,1751,93%,7%,,,,8.7,6.8,33,14,61,10,32,19,356,5,31,2014
64,47,Andris Biedriņš,C,27,UTA,6,45,,,,9%,91%,-3.4,4.6,1,0,1,1,0,1,0,0,0,2014
65,48,Chauncey Billups,SG,37,DET,19,309,25%,75%,,,,-8.4,-4.7,12,8,10,3,3,0,94,0,2,2014
66,49,Bismack Biyombo,C,21,CHA,77,1072,,,,39%,61%,-2.2,-2.8,4,15,56,11,38,3,18,9,21,2014
67,50,DeJuan Blair,PF,24,DAL,78,1214,,,,65%,35%,1.0,-2.0,28,25,84,13,63,3,168,17,46,2014
68,51,Steve Blake,PG,33,TOT,55,1498,95%,5%,,,,-5.3,-5.8,76,17,26,1,9,10,704,3,7,2014
69,51,Steve Blake,PG,33,LAL,27,891,91%,9%,,,,-6.1,0.0,58,11,13,0,7,7,468,2,6,2014
70,51,Steve Blake,PG,33,GSW,28,607,100%,,,,,-4.0,-10.6,18,6,13,1,2,3,236,1,1,2014
71,52,Andray Blatche,PF,27,BRK,73,1618,,,,33%,67%,0.7,2.3,27,36,80,13,102,6,279,25,43,2014
72,53,Eric Bledsoe,PG,24,PHO,43,1416,96%,4%,,,,4.3,2.8,81,44,47,8,87,7,564,21,28,2014
73,54,Vander Blue,SG,21,BOS,3,15,27%,73%,,,,13.6,18.7,0,1,1,0,2,0,2,1,0,2014
74,55,Keith Bogans,SG,33,BOS,6,55,,50%,50%,,,-4.7,0.4,0,0,0,1,0,1,7,0,1,2014
75,56,Andrew Bogut,C,29,GSW,67,1769,,,,,100%,9.2,7.7,42,15,108,29,24,18,263,6,14,2014
76,57,Matt Bonner,PF,33,SAS,61,690,,,,65%,35%,6.3,-2.2,7,1,24,4,6,2,77,0,3,2014
77,58,Trevor Booker,PF,26,WAS,72,1553,,,,98%,2%,-1.2,-4.0,22,18,65,9,37,3,157,10,19,2014
78,59,Carlos Boozer,PF,32,CHI,76,2141,,,,73%,27%,-1.6,-8.1,51,47,100,35,92,3,272,17,89,2014
