,Rk,Player,Pos,Age,Tm,G,MP,PG_Pc,SG_Pc,SF_Pc,PF_Pc,C_Pc,PMP100_OnCourt,PMP100_On_Off,BadPassTO,LostBallTO,FoulC_Shoot,FoulC_Off,FoulD_Shoot,FoulD_Off,PGA,And1,Blkd,Season
198,140,Reggie Evans,PF,33,BRK,30,399,,,,65%,35%,-11.0,-11.5,5,5,17,9,28,3,11,3,15,2014
199,140,Reggie Evans,PF,33,SAC,24,500,,,,81%,19%,-3.4,-0.3,7,6,28,8,18,0,39,1,13,2014
200,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2014
201,141,Tyreke Evans,SF,24,NOP,72,2028,1%,27%,70%,2%,,-4.7,-4.3,69,48,54,20,140,8,835,37,103,2014
202,142,Kenneth Faried,PF,24,DEN,80,2178,,,23%,70%,7%,-3.1,-2.2,55,39,83,24,127,14,234,31,66,2014
203,143,Jordan Farmar,PG,27,LAL,41,912,100%,,,,,-4.6,1.9,63,16,24,8,20,11,478,6,15,2014
204,144,Vítor Luiz Faverani,C,25,BOS,37,488,,,,14%,86%,-10.0,-5.6,9,14,36,12,12,1,36,0,15,2014
205,145,Derrick Favors,PF,22,UTA,73,2201,,,,39%,62%,-8.3,-0.7,44,34,140,23,140,2,217,43,67,2014
206,146,Carrick Felix,SG,23,CLE,7,38,,62%,38%,,,5.0,8.6,1,2,2,0,2,2,8,0,1,2014
207,147,Raymond Felton,PG,29,NYK,65,2017,100%,,,,,0.2,2.5,81,36,63,6,48,20,880,5,31,2014
208,148,Landry Fields,SF,25,TOR,30,322,,7%,78%,15%,,-0.1,-4.1,5,2,13,0,12,2,47,3,6,2014
209,149,Derek Fisher,SG,39,OKC,81,1428,42%,51%,8%,,,8.8,3.1,31,13,42,2,23,42,255,5,7,2014
210,150,Evan Fournier,SG,21,DEN,76,1503,5%,57%,37%,1%,,0.4,4.1,40,26,74,15,43,7,256,11,28,2014
211,151,Randy Foye,SG,30,DEN,81,2485,17%,72%,11%,,,-3.1,-2.6,94,32,90,11,59,14,648,9,43,2014
212,152,Jamaal Franklin,SG,22,MEM,21,161,52%,48%,,,,5.9,4.0,5,1,10,1,1,1,15,0,3,2014
213,153,Jimmer Fredette,SG,24,TOT,49,519,68%,32%,,,,-2.5,-2.0,25,17,21,0,9,3,140,2,10,2014
214,153,Jimmer Fredette,SG,24,SAC,41,463,70%,30%,,,,-6.6,-3.9,23,15,17,0,9,3,133,2,8,2014
215,153,Jimmer Fredette,SG,24,CHI,8,56,50%,50%,,,,31.3,29.6,2,2,4,0,0,0,7,0,2,2014
216,154,Joel Freeland,C,26,POR,52,727,,,,7%,93%,1.9,-2.4,8,11,55,8,13,0,94,3,9,2014
217,155,Channing Frye,PF,30,PHO,82,2312,,,,59%,41%,5.7,7.7,34,14,118,29,29,13,240,7,15,2014
218,156,Francisco García,SF,32,HOU,55,1083,,34%,65%,1%,,2.1,-3.7,15,9,67,1,6,3,149,0,13,2014
219,157,Kevin Garnett*,C,37,BRK,54,1109,,,,23%,77%,-1.6,-1.2,31,11,47,18,22,4,191,3,9,2014
220,158,Diante Garrett,PG,25,UTA,71,1048,82%,18%,,,,-5.7,3.1,52,11,38,2,3,5,277,0,13,2014
221,159,Marc Gasol,C,29,MEM,59,1970,,,,,100%,0.7,-2.8,41,36,74,23,101,9,480,29,27,2014
222,160,Pau Gasol,C,33,LAL,60,1884,,,,18%,83%,-8.7,-5.0,68,63,70,5,113,5,485,30,57,2014
223,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2014
224,161,Rudy Gay,SF,27,TOT,73,2531,,8%,77%,15%,,-1.8,-2.9,87,96,71,24,157,6,469,28,79,2014
225,161,Rudy Gay,SF,27,TOR,18,639,,1%,74%,24%,1%,-1.1,-5.6,18,28,13,9,37,3,97,7,24,2014
226,161,Rudy Gay,SF,27,SAC,55,1892,,11%,78%,11%,,-2.0,2.3,69,68,58,15,120,3,372,21,55,2014
227,162,Alonzo Gee,SF,26,CLE,65,1020,,6%,92%,2%,,-9.3,-7.9,21,13,45,8,26,1,107,3,16,2014
228,163,Paul George,SF,23,IND,80,2898,,11%,89%,,,6.4,6.3,128,52,61,31,162,26,630,36,67,2014
229,164,Taj Gibson,PF,28,CHI,82,2351,,,1%,98%,1%,4.1,4.9,43,40,98,35,128,7,221,28,93,2014
230,165,Manu Ginóbili,SG,36,SAS,68,1550,2%,93%,5%,,,12.8,7.7,109,17,60,4,65,27,667,13,32,2014
231,166,Rudy Gobert,C,21,UTA,45,434,,,,,100%,-2.6,6.0,7,11,26,6,23,5,15,5,7,2014
232,167,Ryan Gomes,SF,31,OKC,5,34,,,93%,7%,,7.7,0.9,0,0,3,1,0,0,3,0,1,2014
233,168,Drew Gooden,C,32,WAS,22,395,,,,25%,75%,-3.8,-5.6,4,5,30,3,14,5,33,3,9,2014
234,169,Archie Goodwin,SG,19,PHO,52,533,4%,91%,5%,,,-8.1,-12.3,12,20,19,6,26,6,47,9,18,2014
235,170,Ben Gordon,SG,30,CHA,19,279,,100%,,,,3.0,3.4,7,10,10,0,7,2,47,0,10,2014
236,171,Eric Gordon,SG,25,NOP,64,2057,1%,96%,3%,,,-6.5,-8.2,51,56,59,12,95,4,442,19,64,2014
237,172,Marcin Gortat,C,29,WAS,81,2655,,,,,100%,5.0,11.3,41,39,102,28,107,19,317,28,51,2014
238,173,Danny Granger,SF,30,TOT,41,847,,,95%,5%,,4.7,-1.3,22,13,33,4,25,4,97,7,17,2014
239,173,Danny Granger,SF,30,IND,29,653,,,96%,4%,,8.2,4.2,16,10,23,3,20,3,77,6,15,2014
240,173,Danny Granger,SF,30,LAC,12,194,,,90%,10%,,-7.2,-15.0,6,3,10,1,5,1,20,1,2,2014
241,174,Aaron Gray,C,29,TOT,37,355,,,,,100%,-11.4,-12.1,9,2,24,15,7,1,48,0,10,2014
242,174,Aaron Gray,C,29,TOR,4,20,,,,,100%,-10.7,-14.4,0,0,1,3,1,0,7,0,0,2014
243,174,Aaron Gray,C,29,SAC,33,335,,,,,100%,-11.4,-9.0,9,2,23,12,6,1,41,0,10,2014
244,175,Danny Green,SG,26,SAS,68,1651,1%,71%,29%,,,9.9,2.9,44,18,60,7,24,7,225,10,12,2014
245,176,Draymond Green,SF,23,GSW,82,1797,,7%,62%,31%,1%,4.9,-0.1,46,12,96,26,43,19,358,3,25,2014
246,177,Gerald Green,SG,28,PHO,82,2330,,78%,22%,,,-0.1,-6.3,61,44,109,12,77,7,289,8,21,2014
247,178,Jeff Green,SF,27,BOS,82,2805,,,94%,6%,,-6.7,-5.7,53,50,78,36,151,14,318,34,49,2014
248,179,Willie Green,SG,32,LAC,55,869,21%,76%,3%,,,5.1,-2.6,17,8,42,3,14,5,125,0,7,2014
249,180,Blake Griffin,PF,24,LAC,80,2863,,,,91%,9%,9.3,8.3,77,65,121,46,276,24,710,68,68,2014
250,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2014
251,181,Jorge Gutiérrez,PG,25,BRK,15,244,100%,,,,,-6.1,-5.7,6,3,12,1,2,2,70,0,5,2014
252,182,Jordan Hamilton,SF,23,TOT,60,1019,,28%,68%,4%,,-4.8,-7.0,19,14,37,4,24,2,125,5,12,2014
253,182,Jordan Hamilton,SF,23,DEN,39,670,,27%,71%,2%,,-7.1,-5.9,12,9,18,1,15,2,83,5,11,2014
254,182,Jordan Hamilton,SF,23,HOU,21,349,,28%,63%,9%,,-0.3,-5.6,7,5,19,3,9,0,42,0,1,2014
255,183,Justin Hamilton,C,23,TOT,8,72,,,,,100%,-14.4,-17.1,1,3,5,0,2,1,0,1,1,2014
256,183,Justin Hamilton,C,23,CHA,1,4,,,,,100%,-11.1,-10.9,1,0,0,0,0,0,0,0,0,2014
257,183,Justin Hamilton,C,23,MIA,7,68,,,,,100%,-14.7,-20.4,0,3,5,0,2,1,0,1,1,2014
258,184,Tyler Hansbrough,PF,28,TOR,64,978,,,,24%,76%,0.4,-4.4,8,15,44,13,83,8,44,15,17,2014
259,185,Tim Hardaway Jr.,SG,21,NYK,81,1875,,63%,36%,1%,,-6.0,-9.6,16,15,66,5,60,6,155,19,25,2014
260,186,James Harden,SG,24,HOU,73,2777,1%,92%,7%,,,7.1,7.6,135,79,51,32,261,13,1040,42,61,2014
261,187,Maurice Harkless,SF,20,ORL,80,1950,,1%,86%,13%,,-7.8,-3.9,30,21,74,14,68,11,179,13,44,2014
262,188,Josh Harrellson,C,24,DET,32,317,,,,23%,77%,0.1,4.5,6,1,29,3,4,2,33,1,3,2014
263,189,Al Harrington,PF,33,WAS,34,511,,,,94%,6%,4.0,3.1,10,7,28,8,19,8,64,5,10,2014
264,190,Devin Harris,PG,30,DAL,40,818,92%,8%,,,,10.6,10.3,34,15,31,7,53,12,418,14,15,2014
265,191,Elias Harris,SF,24,LAL,2,11,,,35%,65%,,-13.8,-7.7,0,0,0,0,0,1,2,0,0,2014
266,192,Manny Harris,SG,24,LAL,9,180,43%,51%,6%,,,-11.0,-5.1,4,2,7,1,9,0,28,6,6,2014
267,193,Mike Harris,PF,30,UTA,20,225,,,24%,75%,1%,2.7,11.3,3,3,8,4,10,2,13,0,4,2014
268,194,Tobias Harris,PF,21,ORL,61,1850,,,22%,76%,3%,-6.7,-1.6,17,40,68,19,113,4,191,33,54,2014
269,195,Udonis Haslem,PF,33,MIA,46,653,,,48%,30%,22%,-3.8,-10.9,9,5,41,5,20,2,32,5,10,2014
270,196,Spencer Hawes,C,25,TOT,80,2470,,,,,100%,-10.1,-4.3,92,35,150,25,72,4,522,14,55,2014
271,196,Spencer Hawes,C,25,PHI,53,1666,,,,,100%,-12.0,-2.2,60,22,110,18,46,4,383,11,39,2014
272,196,Spencer Hawes,C,25,CLE,27,804,,,,,100%,-5.9,-3.1,32,13,40,7,26,0,139,3,16,2014
273,197,Chuck Hayes,C,30,TOT,61,754,,,,17%,84%,5.5,5.9,12,9,55,7,12,2,83,5,16,2014
274,197,Chuck Hayes,C,30,SAC,16,179,,,,7%,93%,1.4,4.8,5,1,10,1,3,1,14,1,7,2014
275,197,Chuck Hayes,C,30,TOR,45,575,,,,20%,80%,6.9,3.7,7,8,45,6,9,1,69,4,9,2014
276,198,Gordon Hayward,SF,23,UTA,77,2800,,2%,75%,24%,,-7.9,0.2,112,54,68,23,138,20,932,34,54,2014
277,199,Gerald Henderson,SG,26,CHA,77,2461,,88%,12%,,,-1.4,-3.1,42,31,54,22,122,27,446,17,38,2014
278,200,Xavier Henry,SF,22,LAL,43,908,,15%,82%,3%,,-1.9,5.4,19,22,30,13,81,10,115,16,30,2014
279,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2014
280,201,John Henson,PF,23,MIL,70,1856,,,,28%,72%,-12.2,-6.1,37,34,97,15,74,7,263,13,35,2014
281,202,Roy Hibbert,C,27,IND,81,2409,,,,,100%,7.4,6.8,30,48,149,48,103,5,206,24,47,2014
282,203,J.J. Hickson,PF,25,DEN,69,1859,,,,18%,82%,-5.3,-5.9,34,33,63,30,136,8,229,28,63,2014
283,204,Nenê,PF,31,WAS,53,1560,,,,73%,27%,3.3,3.2,46,31,75,18,118,19,341,26,31,2014
284,205,George Hill,PG,27,IND,76,2434,96%,4%,,,,6.3,4.2,59,15,75,10,53,32,585,12,33,2014
285,206,Jordan Hill,PF,26,LAL,72,1500,,,6%,73%,21%,-9.6,-5.6,19,30,109,13,92,2,138,24,31,2014
286,207,Solomon Hill,SF,22,IND,28,226,,27%,71%,2%,,3.6,-1.2,6,3,9,1,3,2,30,0,2,2014
287,208,Kirk Hinrich,PG,33,CHI,73,2116,73%,27%,,,,3.5,2.9,70,28,90,10,37,31,642,5,32,2014
288,209,Jrue Holiday,PG,23,NOP,34,1143,91%,9%,,,,1.4,5.6,57,30,29,6,28,6,604,6,29,2014
289,210,Ryan Hollins,PF,29,LAC,61,482,,,,16%,84%,5.6,-1.7,6,4,41,11,25,5,18,6,8,2014
290,211,Scotty Hopson,SG,24,CLE,2,7,,100%,,,,-21.4,-18.0,0,0,0,0,1,0,2,0,1,2014
291,212,Al Horford,C,27,ATL,29,958,,,,5%,95%,3.2,4.7,27,12,29,12,34,2,181,5,14,2014
292,213,Dwight Howard,C,28,HOU,71,2396,,,,4%,96%,6.9,5.0,54,68,107,54,225,1,310,47,81,2014
293,214,Robbie Hummel,SF,24,MIN,53,655,,8%,73%,20%,,3.6,1.3,6,3,37,1,4,5,52,0,6,2014
294,215,Kris Humphries,PF,28,BOS,69,1376,,,,59%,41%,-6.3,-1.8,25,12,52,13,60,5,158,7,23,2014
295,216,Serge Ibaka,PF,24,OKC,81,2666,,,6%,75%,19%,7.3,1.5,28,37,116,16,94,8,204,19,33,2014
296,217,Andre Iguodala,SF,30,GSW,63,2040,1%,20%,78%,1%,,13.8,18.0,53,22,55,7,53,13,626,10,21,2014
297,218,Ersan İlyasova,PF,26,MIL,55,1478,,,2%,96%,2%,-9.3,-0.5,31,11,51,9,46,26,168,6,29,2014
298,219,Kyrie Irving,PG,21,CLE,71,2496,100%,,,,,-5.1,-4.3,96,60,67,12,122,8,965,36,57,2014
299,220,Royal Ivey,SG,32,OKC,2,5,100%,,,,,-25.0,-31.8,0,0,1,0,0,0,0,0,0,2014
300,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2014
301,221,Jarrett Jack,PG,30,CLE,80,2252,50%,50%,,,,-5.5,-4.6,79,32,63,6,49,8,749,10,34,2014
302,222,Reggie Jackson,PG,23,OKC,80,2277,83%,17%,,,,7.7,2.0,90,49,49,19,63,9,755,12,57,2014
303,223,Stephen Jackson,SF,35,LAC,9,107,,,38%,53%,9%,10.4,3.4,3,1,2,0,0,2,12,0,0,2014
304,224,Bernard James,C,28,DAL,30,146,,,,,100%,-1.4,-3.9,0,6,9,2,8,1,8,5,4,2014
305,225,Damion James,SF,26,SAS,5,50,100%,,,,,7.6,-0.6,1,0,1,0,0,1,6,0,0,2014
306,226,LeBron James,PF,29,MIA,77,2902,,,12%,83%,5%,7.2,7.0,152,69,36,26,246,6,1156,74,42,2014
307,227,Mike James,PG,38,CHI,11,77,100%,,,,,-8.4,-10.7,4,1,6,0,1,2,36,0,2,2014
308,228,Antawn Jamison,PF,37,LAC,22,248,,,,99%,1%,11.6,4.8,2,1,18,1,11,1,18,2,3,2014
309,229,Othyus Jeffers,SG,28,TOT,6,47,28%,63%,10%,,,34.5,29.4,0,0,0,1,2,0,2,0,0,2014
310,229,Othyus Jeffers,SG,28,SAS,4,34,,87%,13%,,,36.2,28.2,0,0,0,0,1,0,2,0,0,2014
311,229,Othyus Jeffers,SG,28,MIN,2,13,100%,,,,,29.9,27.4,0,0,0,1,1,0,0,0,0,2014
312,230,Al Jefferson,C,29,CHA,73,2553,,,,31%,69%,0.4,1.7,32,47,119,10,144,10,360,39,74,2014
313,231,Richard Jefferson,SF,33,UTA,82,2213,,71%,29%,,,-9.7,-4.0,45,23,87,14,79,11,294,15,31,2014
314,232,John Jenkins,SG,22,ATL,13,158,,83%,17%,,,-6.3,-6.3,5,3,2,2,3,0,27,2,4,2014
315,233,Brandon Jennings,PG,24,DET,80,2728,100%,,,,,-3.8,0.8,130,65,59,8,110,9,1322,21,44,2014
316,234,Jonas Jerebko,PF,26,DET,64,741,,,9%,79%,12%,-6.5,-3.0,18,13,41,3,26,2,89,7,8,2014
317,235,Amir Johnson,PF,26,TOR,77,2214,,,2%,84%,14%,4.7,2.3,45,28,109,33,63,13,259,20,37,2014
318,236,Chris Johnson,SF,23,BOS,40,789,2%,56%,42%,,,-0.5,5.7,7,7,26,2,15,3,72,2,14,2014
319,237,James Johnson,SF,26,MEM,52,956,,,78%,22%,,7.0,6.5,28,24,52,8,40,2,242,6,21,2014
320,238,Joe Johnson,SG,32,BRK,79,2575,1%,61%,38%,1%,,0.7,3.9,62,30,47,17,64,2,515,17,17,2014
321,239,Orlando Johnson,SG,24,TOT,45,392,,92%,9%,,,-3.4,-4.3,5,3,9,2,12,1,51,2,14,2014
322,239,Orlando Johnson,SG,24,IND,38,342,,94%,6%,,,-0.6,-5.8,4,3,8,2,10,1,41,2,12,2014
323,239,Orlando Johnson,SG,24,SAC,7,50,,77%,23%,,,-22.9,-20.0,1,0,1,0,2,0,10,0,2,2014
324,240,Wesley Johnson,SF,26,LAL,79,2240,,3%,64%,33%,,-7.8,-4.1,57,16,119,5,34,5,283,9,23,2014
325,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2014
326,241,Darius Johnson-Odom,SG,24,PHI,3,15,59%,39%,2%,,,-14.6,-3.9,1,1,0,0,1,0,2,0,0,2014
327,242,James Jones,SF,33,MIA,20,236,,56%,44%,,,19.1,14.6,1,1,1,0,2,0,21,0,2,2014
328,243,Perry Jones,PF,22,OKC,62,764,,,2%,58%,41%,5.5,-1.6,6,9,29,3,20,2,59,2,8,2014
329,244,Solomon Jones,PF,29,ORL,11,85,,,,66%,35%,-11.4,-5.8,0,0,5,1,1,1,4,0,1,2014
330,245,Terrence Jones,PF,22,HOU,76,2078,,,,90%,9%,3.4,-3.1,26,28,67,6,101,5,208,30,64,2014
331,246,DeAndre Jordan,C,25,LAC,82,2870,,,,1%,99%,9.0,6.8,35,27,165,29,112,7,166,29,31,2014
332,247,Cory Joseph,SG,22,SAS,68,936,47%,53%,,,,1.2,-9.1,22,8,42,7,40,9,262,7,18,2014
333,248,Chris Kaman,C,31,LAL,39,736,,,,2%,98%,-4.1,2.4,24,30,60,11,29,1,139,6,18,2014
334,249,Enes Kanter,C,21,UTA,80,2138,,,,3%,97%,-12.2,-9.2,34,42,120,40,84,5,181,20,73,2014
335,250,Sergey Karasev,SF,20,CLE,22,156,,11%,82%,7%,,-15.7,-12.7,10,0,10,1,1,3,12,0,1,2014
336,251,Ryan Kelly,PF,22,LAL,59,1312,,,1%,80%,20%,-3.4,4.1,18,12,92,8,57,15,237,15,23,2014
337,252,Michael Kidd-Gilchrist,SF,20,CHA,62,1502,,,100%,,,1.1,2.0,16,21,74,9,84,17,115,17,38,2014
338,253,Andrei Kirilenko,PF,32,BRK,45,857,,,7%,91%,2%,-2.5,-2.3,35,7,31,4,50,6,156,9,17,2014
339,254,Brandon Knight,PG,22,MIL,72,2400,89%,11%,,,,-9.4,-1.2,104,58,47,15,111,24,802,24,59,2014
340,255,Kyle Korver,SG,32,ATL,71,2408,,68%,31%,,,3.0,8.5,59,26,87,9,21,5,467,11,13,2014
341,256,Kosta Koufos,C,24,MEM,80,1349,,,,11%,89%,2.6,0.8,16,19,91,18,45,2,85,10,34,2014
342,257,Viacheslav Kravtsov,C,26,PHO,20,59,,,,16%,84%,-34.1,-37.2,1,2,5,1,2,0,3,0,3,2014
343,258,Ognjen Kuzmić,C,23,GSW,21,92,,,,,100%,-28.8,-34.6,5,1,8,2,3,0,6,0,1,2014
344,259,Doron Lamb,SG,22,ORL,53,695,,44%,56%,1%,,-0.9,6.0,12,3,28,2,10,2,103,1,6,2014
345,260,Jeremy Lamb,SG,21,OKC,78,1538,4%,67%,29%,,,7.9,1.8,26,25,81,2,31,10,265,8,19,2014
346,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2014
347,261,Carl Landry,PF,30,SAC,18,233,,,,41%,59%,-13.5,-11.0,2,2,17,3,9,2,11,5,4,2014
348,262,Shane Larkin,PG,21,DAL,48,489,100%,,,,,7.6,5.9,20,12,11,2,10,4,165,4,12,2014
349,263,Ty Lawson,PG,26,DEN,62,2222,76%,25%,,,,-1.5,1.6,140,36,42,5,158,19,1256,33,58,2014
350,264,Ricky Ledo,SG,21,DAL,11,33,,28%,67%,5%,,12.5,10.1,1,0,1,0,2,0,5,0,0,2014
351,265,Courtney Lee,SG,28,TOT,79,1973,21%,73%,6%,,,2.1,4.8,41,10,50,7,35,10,252,10,27,2014
352,265,Courtney Lee,SG,28,BOS,30,504,1%,96%,3%,,,-4.2,1.1,15,1,14,2,8,4,74,2,10,2014
353,265,Courtney Lee,SG,28,MEM,49,1469,28%,66%,6%,,,4.3,3.5,26,9,36,5,27,6,178,8,17,2014
354,266,David Lee,PF,30,GSW,69,2288,,,,81%,19%,9.7,11.2,58,53,86,28,148,5,353,29,94,2014
355,267,Alex Len,C,20,PHO,42,362,,,,,100%,-8.4,-12.0,9,5,34,4,13,0,10,3,7,2014
356,268,Kawhi Leonard,SF,22,SAS,66,1923,,,87%,13%,,10.1,3.8,27,21,63,19,59,5,317,21,34,2014
357,269,Meyers Leonard,C,21,POR,40,355,,,,,100%,-11.6,-17.0,7,3,49,3,8,1,43,2,3,2014
358,270,Jon Leuer,PF,24,MEM,49,642,,,1%,96%,3%,-1.8,-4.6,12,8,33,3,22,1,44,3,20,2014
359,271,Rashard Lewis,SF,34,MIA,60,971,,,55%,45%,,3.2,-2.8,19,4,50,7,12,5,139,3,6,2014
360,272,DeAndre Liggins,SG,25,MIA,1,1,,100%,,,,33.3,28.0,0,0,0,0,0,0,0,0,0,2014
361,273,Damian Lillard,PG,23,POR,82,2937,66%,34%,,,,5.5,6.6,126,40,83,16,160,29,1068,26,85,2014
362,274,Jeremy Lin,PG,25,HOU,71,2054,66%,34%,,,,4.5,-0.8,105,48,79,13,87,15,690,15,41,2014
363,275,Shaun Livingston,PG,28,BRK,76,1974,52%,48%,1%,,,1.6,4.5,52,25,70,10,80,12,579,16,29,2014
364,276,Brook Lopez,C,25,BRK,17,533,,,,,100%,-1.4,-0.8,5,8,26,11,55,1,41,13,13,2014
365,277,Robin Lopez,C,25,POR,82,2603,,,,3%,98%,6.0,6.2,20,27,129,24,103,6,176,19,30,2014
366,278,Kevin Love,PF,25,MIN,77,2797,,,,73%,27%,5.6,10.9,95,55,60,27,224,13,741,36,63,2014
367,279,Kyle Lowry,PG,27,TOR,79,2862,100%,,,,,4.8,4.3,116,42,85,20,118,48,1317,24,51,2014
368,280,John Lucas III,PG,31,UTA,42,591,100%,,,,,-15.6,-9.0,7,4,12,4,1,5,95,1,4,2014
369,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2014
370,281,Shelvin Mack,PG,23,ATL,73,1490,18%,72%,11%,,,-0.5,-0.3,53,26,36,6,26,1,635,4,30,2014
371,282,Ian Mahinmi,C,27,IND,77,1248,,,,,100%,1.3,-5.0,8,8,107,26,59,7,60,14,23,2014
372,283,Shawn Marion,SF,35,DAL,76,2409,,,54%,46%,,-1.4,-9.9,58,24,84,2,23,2,300,2,28,2014
373,284,Kendall Marshall,PG,22,LAL,54,1564,90%,9%,1%,,,-5.7,0.7,117,15,19,11,16,1,1053,7,26,2014
374,285,Cartier Martin,SF,29,TOT,59,870,,21%,76%,4%,,-6.5,-8.3,18,7,30,5,23,6,79,8,9,2014
375,285,Cartier Martin,SF,29,ATL,53,822,,19%,77%,4%,,-6.3,-7.5,17,7,30,5,22,6,75,8,9,2014
376,285,Cartier Martin,SF,29,CHI,6,48,,45%,51%,4%,,-10.1,-12.3,1,0,0,0,1,0,4,0,0,2014
377,286,Kenyon Martin,PF,36,NYK,32,633,,,,80%,21%,5.2,7.4,13,3,45,9,9,1,110,1,6,2014
378,287,Kevin Martin,SG,30,MIN,68,2177,,98%,2%,,,3.2,1.5,38,36,52,10,123,11,289,23,53,2014
379,288,Roger Mason,SG,33,MIA,25,260,28%,70%,1%,,,0.3,-5.4,5,0,13,2,2,0,44,0,0,2014
380,289,Wesley Matthews,SG,27,POR,82,2780,,78%,22%,1%,,4.9,3.5,48,38,73,13,119,32,448,22,41,2014
381,290,Jason Maxiell,PF,30,ORL,34,488,,,14%,77%,8%,-9.9,-4.7,2,5,17,6,12,1,20,3,7,2014
382,291,Eric Maynor,PG,26,TOT,31,327,100%,,,,,-25.2,-21.2,19,8,7,1,6,0,124,1,3,2014
383,291,Eric Maynor,PG,26,WAS,23,215,100%,,,,,-26.7,-29.5,11,5,4,1,2,0,97,1,2,2014
384,291,Eric Maynor,PG,26,PHI,8,112,100%,,,,,-22.5,-12.1,8,3,3,0,4,0,27,0,1,2014
385,292,O.J. Mayo,SG,26,MIL,52,1346,2%,87%,12%,,,-14.1,-7.9,55,25,53,10,29,6,248,5,35,2014
386,293,Luc Mbah a Moute,PF-SF,27,TOT,64,1003,,,73%,26%,,-6.2,-6.8,9,17,33,7,30,6,82,7,24,2014
387,293,Luc Mbah a Moute,SF,27,SAC,9,196,,,68%,32%,,-3.3,-0.1,0,1,9,3,5,4,36,1,5,2014
388,293,Luc Mbah a Moute,PF,27,MIN,55,807,,,75%,25%,1%,-6.9,-11.7,9,16,24,4,25,2,46,6,19,2014
389,294,Ray McCallum,PG,22,SAC,45,897,82%,18%,,,,-5.1,-2.4,22,13,33,1,12,0,266,4,22,2014
390,295,CJ McCollum,SG,22,POR,38,476,11%,85%,4%,,,-2.7,-7.4,11,12,27,6,15,3,64,2,11,2014
391,296,JaVale McGee,C,26,DEN,5,79,,,,,100%,-1.7,0.5,2,2,9,2,1,2,4,1,3,2014
392,297,Ben McLemore,SG,20,SAC,82,2187,,91%,9%,,,-5.7,-5.6,36,36,100,10,56,8,180,11,43,2014
393,298,Josh McRoberts,PF,26,CHA,78,2360,,,,95%,5%,0.7,2.1,43,21,59,7,39,17,729,5,24,2014
394,299,Jodie Meeks,SG,26,LAL,77,2556,19%,79%,2%,,,-9.0,-8.3,53,41,49,7,108,9,325,33,56,2014
395,300,Gal Mekel,PG,25,DAL,31,292,87%,13%,,,,-0.7,-3.4,17,6,12,3,4,1,151,0,9,2014
396,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2014
397,301,Khris Middleton,SF,22,MIL,82,2460,,19%,70%,11%,,-8.3,1.7,54,36,113,13,45,13,372,5,35,2014
398,302,C.J. Miles,SG,26,CLE,51,984,,60%,39%,1%,,1.7,6.9,23,11,54,4,29,3,121,9,15,2014
399,303,Andre Miller,SG,37,TOT,58,982,45%,52%,3%,,,3.2,4.2,40,14,22,3,28,5,449,7,22,2014
400,303,Andre Miller,SG,37,DEN,30,570,12%,83%,6%,,,1.6,4.4,20,8,13,1,14,0,226,3,14,2014
401,303,Andre Miller,SG,37,WAS,28,412,91%,9%,,,,5.5,4.7,20,6,9,2,14,5,223,4,8,2014
402,304,Darius Miller,SF,23,NOP,45,723,,7%,81%,13%,,2.3,5.9,10,6,41,1,12,3,95,5,5,2014
403,305,Mike Miller,SF,33,MEM,82,1707,,33%,65%,2%,,-2.3,-7.7,50,10,44,13,14,3,286,2,7,2014
404,306,Quincy Miller,PF,21,DEN,52,789,,,21%,75%,4%,-3.1,-1.2,17,19,37,4,28,2,62,5,16,2014
405,307,Patty Mills,PG,25,SAS,81,1527,100%,,,,,11.1,4.7,37,18,34,7,29,10,354,10,21,2014
