,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot_1,Off_1,Shoot_2,Off_2,PGA,And1,Blkd,Season
284,224,Brandon Jennings,PG,27,TOT,81,1802,100%,,,,,-2.0,-1.2,70,38,30,11,59,12,913,10,17,2017
285,224,Brandon Jennings,PG,27,NYK,58,1428,100%,,,,,-3.3,0.9,58,32,18,9,51,11,669,10,12,2017
286,224,Brandon Jennings,PG,27,WAS,23,374,100%,,,,,3.2,1.7,12,6,12,2,8,1,244,0,5,2017
287,225,Jonas Jerebko,PF,29,BOS,78,1232,,,,79%,21%,3.2,0.1,21,6,57,5,13,3,178,1,16,2017
288,226,Amir Johnson,PF,29,BOS,80,1608,,,,94%,6%,8.3,8.6,33,20,111,16,44,6,343,10,29,2017
289,227,Brice Johnson,PF,22,LAC,3,9,,,,,100%,43.3,39.3,0,0,0,0,0,0,3,0,1,2017
290,228,James Johnson,PF,29,MIA,76,2085,,,,91%,9%,2.9,3.6,92,39,92,25,104,6,661,31,41,2017
291,229,Joe Johnson,SF,35,UTA,78,1843,1%,41%,56%,3%,,3.7,-1.5,35,27,45,4,27,0,346,6,11,2017
292,230,Stanley Johnson,SF,20,DET,77,1371,,45%,54%,,,1.2,4.1,32,16,54,10,24,4,234,7,16,2017
293,231,Tyler Johnson,PG,24,MIA,73,2178,53%,47%,,,,0.7,-1.0,50,29,102,2,100,25,559,19,54,2017
294,232,Wesley Johnson,SF,29,LAC,68,810,,,31%,69%,,-2.9,-8.8,11,6,53,0,6,2,52,2,4,2017
295,233,Nikola Jokić,C,21,DEN,73,2038,,,,14%,86%,5.6,11.5,89,42,89,24,88,6,816,25,51,2017
296,234,Dahntay Jones,SF,36,CLE,1,12,100%,,,,,10.0,6.7,1,0,0,0,2,0,3,2,1,2017
297,235,Damian Jones,C,21,GSW,10,85,,,,7%,93%,-13.1,-25.4,0,1,8,4,4,0,0,0,1,2017
298,236,Derrick Jones Jr.,SF,19,PHO,32,545,1%,31%,67%,2%,,2.8,10.1,5,3,32,4,17,5,32,2,6,2017
299,237,James Jones,SF,36,CLE,48,381,,,49%,42%,8%,-11.8,-16.6,8,1,13,1,7,2,35,2,1,2017
300,238,Terrence Jones,PF,25,TOT,54,1270,,,1%,75%,24%,-1.9,-1.1,18,24,35,5,87,3,138,26,39,2017
301,238,Terrence Jones,PF,25,NOP,51,1264,,,,76%,24%,-1.7,0.4,18,24,35,5,87,3,138,26,39,2017
302,238,Terrence Jones,PF,25,MIL,3,6,,,100%,,,-39.6,-39.7,0,0,0,0,0,0,0,0,0,2017
303,239,Tyus Jones,PG,20,MIN,60,774,99%,1%,,,,1.6,3.3,25,10,19,1,14,8,356,3,4,2017
304,240,DeAndre Jordan,C,28,LAC,81,2570,,,,,100%,9.2,14.7,40,28,95,32,135,5,234,33,23,2017
305,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2017
306,241,Cory Joseph,PG,25,TOR,80,2003,61%,39%,,,,1.8,-5.5,65,23,60,11,46,19,644,12,40,2017
307,242,Frank Kaminsky,C,23,CHO,75,1954,,,,17%,83%,0.9,1.0,28,21,82,10,75,2,385,19,37,2017
308,243,Enes Kanter,C,24,OKC,72,1533,,,,26%,74%,0.4,-0.1,29,52,83,20,134,3,169,31,91,2017
309,244,Ryan Kelly,PF,25,ATL,16,110,,,,40%,60%,2.7,4.1,2,1,3,0,3,0,18,0,2,2017
310,245,Michael Kidd-Gilchrist,SF,23,CHO,81,2349,,,88%,12%,,1.4,2.5,17,22,104,12,97,18,277,19,69,2017
311,246,Sean Kilpatrick,SG,27,BRK,70,1754,22%,69%,9%,,,-6.4,0.0,57,52,52,17,90,9,389,22,60,2017
312,247,Brandon Knight,SG,25,PHO,54,1140,54%,46%,,,,-13.2,-10.2,45,26,24,9,54,15,309,13,28,2017
313,248,Kyle Korver,SG,35,TOT,67,1753,3%,65%,29%,3%,,-5.9,-9.0,41,17,61,6,10,8,252,3,10,2017
314,248,Kyle Korver,SG,35,ATL,32,894,1%,75%,24%,,,-8.0,-8.8,25,11,23,2,7,2,165,3,3,2017
315,248,Kyle Korver,SG,35,CLE,35,859,6%,56%,34%,5%,,-3.7,-8.9,16,6,38,4,3,6,87,0,7,2017
316,249,Kosta Koufos,C,27,SAC,71,1419,,,,1%,100%,-4.4,-0.7,19,23,85,17,32,3,109,8,28,2017
317,250,Mindaugas Kuzminskas,SF,27,NYK,68,1016,,1%,81%,17%,,-1.1,3.8,17,15,41,6,31,1,163,6,34,2017
318,251,Skal Labissière,PF,20,SAC,33,612,,,1%,92%,7%,-3.6,0.3,14,17,28,3,30,2,61,6,15,2017
319,252,Jeremy Lamb,SG,24,CHO,62,1143,,97%,3%,,,-1.1,-2.0,26,7,50,3,66,7,173,21,17,2017
320,253,Nicolás Laprovíttola,PG,27,SAS,18,174,98%,2%,,,,-9.4,-18.2,7,8,3,0,2,2,63,1,2,2017
321,254,Joffrey Lauvergne,PF-C,25,TOT,70,980,,,,71%,29%,-4.8,-5.8,25,11,38,7,30,4,159,7,25,2017
322,254,Joffrey Lauvergne,PF,25,OKC,50,739,,,1%,86%,14%,-5.6,-7.4,20,7,36,5,21,4,118,4,18,2017
323,254,Joffrey Lauvergne,C,25,CHI,20,241,,,,25%,75%,-2.5,-2.8,5,4,2,2,9,0,41,3,7,2017
