,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot_1,Off_1,Shoot_2,Off_2,PGA,And1,Blkd,Season
38,32,Nicolas Batum,SG,28,CHO,77,2617,,57%,42%,1%,,1.6,3.5,126,41,42,10,109,4,1047,27,41,2017
39,33,Jerryd Bayless,PG,28,PHI,3,71,94%,6%,,,,-14.2,-8.4,5,4,2,0,4,0,29,0,4,2017
40,34,Aron Baynes,C,30,DET,75,1163,,,,2%,98%,5.9,10.5,12,11,89,19,40,9,74,6,22,2017
41,35,Kent Bazemore,SF,27,ATL,73,1963,1%,40%,58%,2%,,-2.8,-3.1,81,35,83,5,60,17,395,11,30,2017
42,36,Bradley Beal,SG,23,WAS,77,2684,3%,93%,4%,,,5.7,12.3,83,44,91,14,120,9,617,35,61,2017
43,37,Malik Beasley,SG,20,DEN,22,165,4%,80%,15%,,,16.8,17.5,2,3,3,0,3,3,25,0,6,2017
44,38,Michael Beasley,PF,28,MIL,56,935,,,24%,74%,2%,-2.0,-2.7,23,25,59,7,53,2,122,15,19,2017
45,39,Marco Belinelli,SG,30,CHO,74,1778,,66%,34%,,,0.0,-0.7,42,20,37,5,53,15,349,9,11,2017
46,40,DeAndre' Bembry,SF,22,ATL,38,371,4%,61%,31%,4%,,-4.4,-3.6,9,5,10,1,1,3,73,4,17,2017
47,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2017
48,41,Dragan Bender,PF,19,PHO,43,574,,,,69%,31%,-2.5,4.0,12,9,41,4,5,2,49,2,2,2017
49,42,Anthony Bennett,PF,23,BRK,23,264,,,,75%,25%,-11.1,-5.1,6,3,10,2,13,2,29,2,7,2017
50,43,Ben Bentil,PF,21,DAL,3,10,,,,100%,,-57.1,-54.1,0,0,1,0,0,0,0,0,0,2017
51,44,Dāvis Bertāns,PF,24,SAS,67,808,,,7%,91%,2%,6.6,-1.7,17,8,47,3,15,7,110,5,6,2017
52,45,Patrick Beverley,SG,28,HOU,67,2058,24%,73%,3%,,,7.8,3.5,61,20,84,4,37,40,684,8,29,2017
53,46,Bismack Biyombo,C,24,ORL,81,1793,,,,15%,85%,-8.6,-2.9,24,19,105,31,103,3,174,18,44,2017
54,47,Nemanja Bjelica,PF,28,MIN,65,1190,,,4%,95%,1%,0.5,2.3,26,21,70,7,24,0,182,8,14,2017
55,48,Tarik Black,C,25,LAL,67,1091,,,,10%,90%,-1.7,7.7,18,17,106,15,56,2,94,17,32,2017
56,49,Eric Bledsoe,PG,27,PHO,66,2176,96%,4%,,,,-4.4,3.3,128,58,63,24,159,9,979,34,45,2017
57,50,Bojan Bogdanović,SF,27,TOT,81,2083,,,65%,35%,,-7.4,-6.8,55,50,57,12,93,6,267,26,71,2017
58,50,Bojan Bogdanović,SF,27,BRK,55,1482,,,73%,27%,,-10.2,-6.1,42,36,40,6,68,5,214,20,53,2017
59,50,Bojan Bogdanović,SF,27,WAS,26,601,,,45%,55%,,-0.2,-2.3,13,14,17,6,25,1,53,6,18,2017
60,51,Andrew Bogut,C,32,TOT,27,583,,,,,100%,-2.9,-3.2,23,4,33,15,3,3,116,1,2,2017
61,51,Andrew Bogut,C,32,DAL,26,582,,,,,100%,-2.7,0.6,23,4,33,15,3,3,116,1,2,2017
62,51,Andrew Bogut,C,32,CLE,1,1,,,,,100%,-200.0,-203.3,0,0,0,0,0,0,0,0,0,2017
63,52,Joel Bolomboy,PF,23,UTA,12,53,,,6%,59%,36%,14.6,10.2,1,0,1,0,2,0,5,0,1,2017
64,53,Devin Booker,SG,20,PHO,78,2730,1%,79%,20%,,,-4.8,3.6,125,70,97,31,178,18,630,52,92,2017
65,54,Trevor Booker,PF,29,BRK,71,1754,,,,87%,14%,-7.8,-2.6,47,47,53,16,55,1,356,18,36,2017
66,55,Avery Bradley,SG,26,BOS,55,1835,16%,82%,2%,,,1.3,-3.3,55,28,65,3,33,5,286,8,60,2017
67,56,Corey Brewer,SF,30,TOT,82,1281,,24%,73%,4%,,4.0,5.3,20,17,47,10,36,10,230,10,28,2017
68,56,Corey Brewer,SF,30,HOU,58,923,,27%,71%,2%,,9.0,3.7,12,8,36,10,25,8,151,8,20,2017
69,56,Corey Brewer,SF,30,LAL,24,358,,13%,77%,9%,,-8.6,-1.6,8,9,11,0,11,2,79,2,8,2017
70,57,Malcolm Brogdon,SG,24,MIL,75,1982,54%,44%,3%,,,2.6,5.1,65,29,68,8,48,8,742,13,41,2017
71,58,Aaron Brooks,PG,32,IND,65,894,100%,,,,,-2.6,-3.0,41,18,51,2,14,6,283,3,15,2017
72,59,Anthony Brown,SF,24,TOT,11,159,,25%,74%,2%,,2.0,6.5,2,2,6,1,0,1,19,0,1,2017
73,59,Anthony Brown,SF,24,NOP,9,143,,17%,81%,2%,,-2.5,-0.6,2,2,6,0,0,0,13,0,1,2017
74,59,Anthony Brown,SF,24,ORL,2,16,,92%,8%,,,40.4,47.5,0,0,0,1,0,1,6,0,0,2017
75,60,Bobby Brown,PG,32,HOU,25,123,100%,,,,,-10.2,-16.8,1,1,2,0,1,0,34,0,1,2017
76,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2017
77,61,Jaylen Brown,SF,20,BOS,78,1341,,,74%,26%,,-1.9,-7.5,21,21,55,15,62,5,156,23,35,2017
78,62,Nicolás Brussino,SG,23,DAL,54,521,8%,52%,40%,,,-12.0,-10.2,16,5,19,0,6,2,106,2,5,2017
79,63,Reggie Bullock,SF,25,DET,31,467,,93%,8%,,,5.7,8.1,5,1,12,1,4,1,66,2,5,2017
80,64,Trey Burke,PG,24,WAS,57,703,98%,2%,,,,-9.8,-13.9,28,13,21,4,15,4,233,5,8,2017
81,65,Alec Burks,SG,25,UTA,42,653,10%,81%,9%,,,0.3,-5.1,15,9,26,5,35,2,65,11,21,2017
82,66,Jimmy Butler,SF,27,CHI,76,2809,,1%,93%,6%,,3.2,10.9,82,48,50,18,289,9,961,53,59,2017
83,67,Bruno Caboclo,SF,21,TOR,9,40,,,94%,6%,,5.0,0.4,0,0,1,2,0,0,10,0,1,2017
84,68,José Calderón,PG,35,TOT,41,539,85%,15%,,,,-9.2,-5.4,33,4,15,0,3,1,200,1,3,2017
85,68,José Calderón,PG,35,LAL,24,292,92%,8%,,,,-22.3,-16.3,20,4,8,0,1,1,110,1,2,2017
86,68,José Calderón,PG,35,ATL,17,247,76%,24%,,,,6.3,8.0,13,0,7,0,2,0,90,0,1,2017
87,69,Kentavious Caldwell-Pope,SG,23,DET,76,2529,,100%,,,,-3.7,-6.1,46,30,56,4,67,8,444,13,29,2017
88,70,Isaiah Canaan,SG,25,CHI,39,592,48%,48%,4%,,,-6.6,-7.9,11,6,12,1,13,4,84,3,8,2017
89,71,Clint Capela,C,22,HOU,65,1551,,,,,100%,8.1,3.1,29,21,86,17,86,6,173,21,56,2017
90,72,DeMarre Carroll,SF,30,TOR,72,1882,,,73%,27%,,3.2,-2.5,25,17,62,8,52,9,175,5,28,2017
91,73,Vince Carter,SF,40,MEM,73,1799,,32%,65%,2%,,4.2,6.4,30,8,102,8,37,3,305,4,16,2017
92,74,Michael Carter-Williams,PG,25,CHI,45,846,71%,29%,1%,,,-0.1,-0.3,38,13,53,6,39,16,268,13,22,2017
93,75,Omri Casspi,PF,28,TOT,36,643,,,27%,73%,,-7.3,-5.3,7,16,22,3,14,0,87,3,12,2017
94,75,Omri Casspi,PF,28,SAC,22,397,,,39%,60%,1%,-0.6,3.7,4,9,7,1,10,0,62,3,8,2017
95,75,Omri Casspi,PF,28,NOP,1,24,,,40%,60%,,-23.1,-21.3,0,1,1,1,0,0,0,0,1,2017
96,75,Omri Casspi,PF,28,MIN,13,222,,,3%,97%,,-17.1,-17.0,3,6,14,1,4,0,25,0,3,2017
97,76,Willie Cauley-Stein,C,23,SAC,75,1421,,,,29%,71%,-5.9,-3.0,26,23,87,14,68,4,182,16,33,2017
98,77,Tyson Chandler,C,34,PHO,47,1298,,,,5%,95%,-3.7,3.3,28,5,58,25,52,4,71,9,11,2017
99,78,Wilson Chandler,SF,29,DEN,71,2197,,1%,79%,20%,,-1.1,-2.6,40,32,95,17,83,2,359,34,36,2017
100,79,Marquese Chriss,PF,19,PHO,82,1743,,,4%,83%,13%,-10.7,-8.5,37,31,124,26,74,23,124,16,55,2017
101,80,Rakeem Christmas,PF,25,IND,29,219,,,,62%,38%,-9.2,-9.6,0,3,15,5,12,3,8,1,6,2017
102,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2017
103,81,Semaj Christon,PG,24,OKC,64,973,94%,6%,,,,-6.5,-9.2,24,8,33,5,12,2,305,3,12,2017
104,82,Ian Clark,SG,25,GSW,77,1137,30%,63%,7%,,,2.7,-12.6,33,11,43,3,19,4,205,7,24,2017
105,83,Jordan Clarkson,SG,24,LAL,82,2397,8%,78%,14%,,,-8.8,-4.2,83,45,47,10,77,8,477,22,58,2017
106,84,Norris Cole,PG,28,OKC,13,125,100%,,,,,-5.5,-6.2,4,1,6,1,3,0,29,0,3,2017
107,85,Darren Collison,PG,29,SAC,68,2063,100%,,,,,-3.6,0.8,73,26,55,4,56,8,754,13,36,2017
108,86,Nick Collison,PF,36,OKC,20,128,,,,73%,27%,-16.8,-17.9,2,1,7,0,4,0,26,2,0,2017
109,87,Mike Conley,PG,29,MEM,69,2292,100%,,,,,3.8,7.4,93,45,44,9,131,27,1005,30,37,2017
110,88,Pat Connaughton,SG,24,POR,39,316,11%,85%,4%,,,-5.2,-5.3,11,1,16,2,5,0,70,2,5,2017
111,89,Quinn Cook,PG,23,TOT,14,188,93%,7%,,,,-9.9,-7.5,9,4,5,0,2,2,60,1,1,2017
112,89,Quinn Cook,PG,23,DAL,5,77,95%,5%,,,,-9.4,-6.3,6,2,3,0,1,1,30,0,0,2017
113,89,Quinn Cook,PG,23,NOP,9,111,92%,9%,,,,-10.4,-8.7,3,2,2,0,1,1,30,1,1,2017
114,90,DeMarcus Cousins,C,26,TOT,72,2465,,,,31%,69%,-1.3,2.3,98,91,96,56,268,9,800,72,105,2017
115,90,DeMarcus Cousins,C,26,SAC,55,1891,,,,40%,60%,-1.5,4.7,78,73,60,41,214,6,644,53,89,2017
116,90,DeMarcus Cousins,C,26,NOP,17,574,,,,3%,98%,-0.8,1.3,20,18,36,15,54,3,156,19,16,2017
117,91,Robert Covington,SF,26,PHI,67,2119,,2%,85%,14%,,-3.5,5.5,51,29,84,25,71,7,250,9,30,2017
118,92,Allen Crabbe,SG,24,POR,79,2254,,68%,32%,,,-3.1,-6.4,23,20,89,8,53,3,226,14,17,2017
119,93,Jamal Crawford,SG,36,LAC,82,2157,1%,26%,70%,3%,,-2.0,-13.4,76,43,48,6,73,9,491,18,18,2017
120,94,Jordan Crawford,SG,28,NOP,19,442,,47%,53%,,,0.1,2.3,15,5,18,3,11,1,131,4,1,2017
121,95,Jae Crowder,SF,26,BOS,72,2335,,12%,75%,13%,,7.5,10.9,53,16,73,9,84,6,373,17,12,2017
122,96,Dante Cunningham,PF,29,NOP,66,1649,,,21%,78%,,-0.4,2.6,16,4,54,6,12,4,86,3,18,2017
123,97,Seth Curry,PG,26,DAL,70,2029,58%,42%,,,,-1.2,4.1,51,19,42,6,36,6,442,14,28,2017
124,98,Stephen Curry,PG,28,GSW,79,2638,100%,,,,,17.1,17.2,163,43,86,11,135,11,1208,37,56,2017
125,99,Troy Daniels,SG,25,MEM,67,1183,4%,87%,10%,,,1.1,0.5,21,17,48,1,18,8,101,6,12,2017
126,100,Anthony Davis,C,23,NOP,75,2708,,,,36%,64%,1.2,9.7,54,73,75,34,271,11,380,72,55,2017
127,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2017
128,101,Deyonta Davis,C,20,MEM,36,238,,,,1%,99%,-8.2,-9.5,1,2,23,4,10,1,4,4,1,2017
129,102,Ed Davis,PF,27,POR,46,789,,,,57%,43%,-6.4,-7.6,9,12,82,12,29,3,62,3,21,2017
130,103,Dewayne Dedmon,C,27,SAS,76,1330,,,,4%,96%,9.0,1.6,25,9,96,17,47,4,101,16,26,2017
131,104,Sam Dekker,PF,22,HOU,77,1419,,,13%,87%,,3.9,-3.5,19,11,42,6,31,5,191,8,18,2017
132,105,Malcolm Delaney,PG,27,ATL,73,1248,89%,12%,,,,0.9,3.1,59,16,36,10,27,24,462,4,19,2017
133,106,Matthew Dellavedova,PG,26,MIL,76,1986,100%,,,,,-1.9,-4.0,107,13,48,7,21,9,811,5,28,2017
134,107,Luol Deng,SF,31,LAL,56,1486,,,64%,36%,,-6.6,1.0,26,8,27,5,31,2,179,8,24,2017
135,108,DeMar DeRozan,SG,27,TOR,74,2620,,71%,28%,1%,,2.8,-5.2,84,72,53,14,277,6,712,46,93,2017
136,109,Cheick Diallo,PF,20,NOP,17,199,,,,87%,13%,-11.4,-10.0,1,5,9,1,10,1,10,1,3,2017
137,110,Boris Diaw,PF,34,UTA,73,1283,,,,98%,2%,1.4,-4.7,53,16,36,8,17,11,402,4,8,2017
138,111,Gorgui Dieng,PF,27,MIN,82,2653,,,,82%,18%,0.4,4.3,38,23,123,17,69,6,373,16,47,2017
139,112,Spencer Dinwiddie,PG,23,BRK,59,1334,63%,36%,1%,,,-4.4,2.9,40,7,60,9,63,7,457,14,22,2017
140,113,Toney Douglas,PG,30,MEM,24,394,71%,29%,,,,1.7,1.1,13,4,16,1,10,3,134,3,9,2017
141,114,Goran Dragić,PG,30,MIA,73,2459,100%,,,,,1.2,0.2,109,64,82,16,130,12,1031,26,69,2017
142,115,Andre Drummond,C,23,DET,81,2409,,,,,100%,-6.1,-11.6,48,47,104,31,158,6,209,39,58,2017
143,116,Jared Dudley,PF,31,PHO,64,1362,,,9%,87%,5%,-2.5,5.2,46,15,58,6,19,9,269,1,8,2017
144,117,Mike Dunleavy,SF,36,TOT,53,841,,,56%,42%,2%,-5.6,-7.5,17,7,35,1,16,5,126,0,7,2017
145,117,Mike Dunleavy,SF,36,CLE,23,366,,,29%,67%,5%,-2.1,-5.9,10,1,19,0,7,3,54,0,4,2017
146,117,Mike Dunleavy,SF,36,ATL,30,475,,,77%,23%,,-8.3,-8.1,7,6,16,1,9,2,72,0,3,2017
147,118,Kris Dunn,PG,22,MIN,78,1333,65%,34%,1%,,,-3.0,-2.9,45,26,107,4,20,11,440,5,18,2017
148,119,Kevin Durant,PF,28,GSW,62,2070,,,44%,55%,,15.8,8.6,78,39,73,10,166,6,733,45,28,2017
149,120,Jarell Eddie,SF,25,PHO,5,62,,59%,41%,,,-3.6,2.3,1,0,1,0,3,0,0,0,0,2017
150,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2017
151,121,Henry Ellenson,PF,20,DET,19,146,,,,94%,6%,-0.3,1.2,10,1,2,2,5,1,17,3,2,2017
152,122,Wayne Ellington,SG,29,MIA,62,1500,12%,68%,21%,,,3.0,3.0,17,6,33,4,8,8,174,1,9,2017
153,123,Monta Ellis,SG,31,IND,74,1998,1%,96%,3%,,,-1.1,-1.8,76,38,65,8,50,10,553,15,31,2017
154,124,Joel Embiid,C,22,PHI,31,786,,,,,100%,3.0,11.1,27,44,43,30,98,9,164,14,36,2017
155,125,James Ennis,SF,26,MEM,64,1501,,11%,72%,17%,,1.6,1.3,25,20,75,10,48,11,151,8,30,2017
156,126,Tyler Ennis,PG,22,TOT,53,588,93%,7%,,,,0.6,1.2,28,6,28,6,9,5,198,4,16,2017
157,126,Tyler Ennis,PG,22,HOU,31,196,80%,20%,,,,-9.1,-16.0,13,3,15,4,1,0,84,1,5,2017
158,126,Tyler Ennis,PG,22,LAL,22,392,100%,,,,,5.4,14.0,15,3,13,2,8,5,114,3,11,2017
159,127,Tyreke Evans,SF,27,TOT,40,788,,15%,81%,4%,,-9.4,-7.1,35,11,19,10,44,0,303,13,29,2017
160,127,Tyreke Evans,SF,27,NOP,26,474,,25%,70%,5%,,-7.9,-6.7,20,7,13,7,31,0,225,10,18,2017
161,127,Tyreke Evans,SF,27,SAC,14,314,,1%,97%,3%,,-11.6,-8.4,15,4,6,3,13,0,78,3,11,2017
162,128,Dante Exum,PG,21,UTA,66,1228,67%,32%,1%,,,0.6,-5.7,45,22,73,9,36,20,253,9,29,2017
163,129,Kenneth Faried,PF,27,DEN,61,1296,,,6%,68%,26%,-1.8,-2.8,22,16,60,13,73,3,128,19,42,2017
164,130,Jordan Farmar,PG,30,SAC,2,35,98%,2%,,,,-8.5,-4.6,2,1,1,0,0,0,21,0,1,2017
165,131,Derrick Favors,PF,25,UTA,50,1186,,,,46%,54%,3.1,-2.0,27,17,56,7,50,0,129,10,32,2017
166,132,Kay Felder,PG,21,CLE,42,386,100%,,,,,-5.7,-9.9,13,8,23,4,21,1,150,1,11,2017
167,133,Cristiano Felício,C,24,CHI,66,1040,,,,,100%,-1.4,-2.0,9,14,59,5,47,1,102,10,18,2017
168,134,Raymond Felton,PG,32,LAC,80,1700,91%,9%,,,,-4.4,-14.9,49,27,68,1,23,8,457,4,23,2017
169,135,Yogi Ferrell,PG,23,TOT,46,1197,100%,,,,,-4.5,0.4,40,16,41,4,33,13,421,7,22,2017
170,135,Yogi Ferrell,PG,23,BRK,10,151,100%,,,,,-12.9,-6.8,5,6,4,1,7,5,46,0,1,2017
171,135,Yogi Ferrell,PG,23,DAL,36,1046,100%,,,,,-3.2,0.0,35,10,37,3,26,8,375,7,21,2017
172,136,Dorian Finney-Smith,PF,23,DAL,81,1642,,2%,27%,70%,1%,-2.2,1.8,19,13,58,4,25,8,174,3,24,2017
173,137,Bryn Forbes,SG,23,SAS,36,285,52%,41%,8%,,,-8.8,-18.1,5,3,12,1,2,1,55,0,3,2017
174,138,Evan Fournier,SG,24,ORL,68,2234,,87%,13%,,,-4.9,4.6,64,54,63,10,105,10,458,29,63,2017
175,139,Randy Foye,SG,33,BRK,69,1284,12%,78%,10%,,,-7.3,-1.4,52,16,45,3,21,3,332,1,18,2017
176,140,Tim Frazier,PG,26,NOP,65,1525,100%,,,,,-2.8,-1.5,65,28,58,2,51,8,768,9,27,2017
177,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2017
178,141,Channing Frye,C,33,CLE,74,1398,,,,,100%,1.3,-3.1,20,10,86,19,30,3,112,7,10,2017
179,142,Danilo Gallinari,SF,28,DEN,63,2134,,,37%,62%,1%,2.7,5.7,36,30,33,7,146,1,311,21,30,2017
180,143,Langston Galloway,PG,25,TOT,74,1495,75%,25%,,,,-1.4,1.8,31,10,40,5,22,8,225,4,20,2017
181,143,Langston Galloway,PG,25,NOP,55,1120,76%,24%,,,,-2.8,-1.1,17,8,29,3,16,6,154,4,13,2017
182,143,Langston Galloway,PG,25,SAC,19,375,70%,30%,,,,2.6,7.2,14,2,11,2,6,2,71,0,7,2017
183,144,Patricio Garino,SG,23,ORL,5,43,,14%,86%,,,-22.0,-15.3,3,0,2,0,0,0,0,0,0,2017
184,145,Marc Gasol,C,32,MEM,74,2531,,,,,100%,1.8,2.9,67,57,84,25,132,4,805,32,23,2017
185,146,Pau Gasol,C,36,SAS,64,1627,,,,,100%,6.6,-2.2,47,24,66,4,74,6,340,16,37,2017
186,147,Rudy Gay,SF,30,SAC,30,1013,,2%,60%,38%,,3.1,9.5,36,25,40,8,61,4,188,17,23,2017
187,148,Michael Gbinije,SG,24,DET,9,32,,50%,50%,,,-1.4,0.1,0,0,1,0,1,0,5,0,0,2017
188,149,Alonzo Gee,SF,29,DEN,13,89,,9%,90%,2%,,1.4,1.4,1,0,3,1,4,0,16,1,2,2017
189,150,Paul George,SF,26,IND,75,2689,,,86%,14%,,2.8,9.2,113,63,77,25,133,11,586,34,54,2017
190,151,Marcus Georges-Hunt,SG,22,ORL,5,48,3%,72%,25%,,,-28.4,-21.8,2,0,2,0,2,0,8,0,0,2017
191,152,Jonathan Gibson,PG,29,DAL,17,231,100%,,,,,-18.9,-16.7,12,3,7,3,10,1,69,1,5,2017
192,153,Taj Gibson,PF,31,TOT,78,1989,,,2%,96%,2%,1.1,1.1,29,36,84,24,77,8,164,20,58,2017
193,153,Taj Gibson,PF,31,CHI,55,1502,,,2%,96%,2%,0.4,0.5,23,23,61,20,57,4,133,15,41,2017
194,153,Taj Gibson,PF,31,OKC,23,487,,,,98%,2%,3.1,3.0,6,13,23,4,20,4,31,5,17,2017
195,154,Manu Ginóbili,SG,39,SAS,69,1291,1%,65%,34%,,,10.1,3.2,70,20,33,3,34,19,429,11,19,2017
196,155,Rudy Gobert,C,24,UTA,81,2744,,,,,100%,8.2,11.6,38,42,125,33,208,16,235,50,55,2017
197,156,Archie Goodwin,SG,22,TOT,15,214,,63%,37%,,,-6.8,-2.7,8,4,2,1,20,2,56,4,8,2017
198,156,Archie Goodwin,SG,22,NOP,3,30,,67%,33%,,,-1.2,0.8,0,0,1,0,4,1,3,0,0,2017
199,156,Archie Goodwin,SG,22,BRK,12,184,,62%,38%,,,-7.7,-1.4,8,4,1,1,16,1,53,4,8,2017
200,157,Aaron Gordon,SF,21,ORL,80,2298,,2%,63%,35%,,-2.8,9.8,41,25,98,17,110,7,352,29,44,2017
201,158,Eric Gordon,SG,28,HOU,75,2323,,68%,31%,1%,,6.6,1.0,54,38,74,6,77,4,448,22,48,2017
202,159,Marcin Gortat,C,32,WAS,82,2556,,,,10%,90%,2.9,3.3,44,29,90,34,75,13,301,15,51,2017
203,160,Treveon Graham,SG,23,CHO,27,189,,15%,73%,12%,,-12.7,-13.8,1,2,10,0,7,0,15,1,7,2017
204,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2017
205,161,Jerami Grant,PF,22,TOT,80,1531,,,43%,55%,2%,-4.6,-2.3,13,13,91,11,63,7,111,6,26,2017
206,161,Jerami Grant,PF,22,PHI,2,41,,,8%,92%,,-15.4,-9.5,0,0,4,1,4,0,0,0,2,2017
207,161,Jerami Grant,PF,22,OKC,78,1490,,,44%,54%,2%,-4.3,-7.6,13,13,87,10,59,7,111,6,24,2017
208,162,Jerian Grant,PG,24,CHI,63,1028,89%,11%,,,,2.1,2.7,28,7,46,5,31,9,272,9,9,2017
209,163,Danny Green,SG,29,SAS,68,1807,,78%,22%,1%,,8.3,0.6,55,9,61,4,13,10,270,1,13,2017
210,164,Draymond Green,PF,26,GSW,76,2471,,,,79%,21%,15.9,11.3,138,17,106,17,80,11,1241,10,40,2017
211,165,Gerald Green,SF,31,BOS,47,538,,31%,66%,3%,,0.8,-2.6,11,7,21,3,15,2,76,2,11,2017
212,166,JaMychal Green,PF,26,MEM,77,2101,,,3%,96%,1%,0.8,0.1,43,17,113,19,69,4,201,17,43,2017
213,167,Jeff Green,PF,30,ORL,69,1534,,,42%,56%,2%,-9.4,-4.1,35,26,52,6,75,8,190,20,21,2017
214,168,Blake Griffin,PF,27,LAC,61,2076,,,,97%,3%,10.1,12.7,75,42,69,11,178,12,723,39,38,2017
215,169,Justin Hamilton,C,26,BRK,64,1177,,,,19%,82%,-11.9,-7.9,17,16,53,7,20,1,134,6,18,2017
216,170,A.J. Hammons,C,24,DAL,22,163,,,,2%,98%,-1.9,1.3,0,3,9,5,3,0,10,0,5,2017
217,171,Tim Hardaway Jr.,SG,24,ATL,79,2154,5%,92%,4%,,,2.9,9.0,62,26,48,13,86,6,420,24,49,2017
218,172,James Harden,PG,27,HOU,81,2947,98%,1%,,,,7.0,3.3,294,114,80,34,305,10,2179,29,85,2017
219,173,Maurice Harkless,SF,23,POR,77,2223,,,68%,32%,,2.7,6.6,25,34,117,8,57,3,217,13,51,2017
220,174,Justin Harper,PF,27,PHI,3,31,,,,28%,72%,-16.9,-11.0,1,2,2,0,0,0,5,0,1,2017
221,175,Montrezl Harrell,C,23,HOU,58,1064,,,,3%,97%,4.7,-2.0,22,12,75,6,69,7,168,34,38,2017
222,176,Devin Harris,PG,33,DAL,65,1087,14%,84%,2%,,,1.9,7.1,33,14,39,6,46,13,313,8,19,2017
223,177,Gary Harris,SG,22,DEN,57,1782,1%,66%,33%,1%,,1.3,2.3,47,14,43,7,53,2,402,17,35,2017
224,178,Joe Harris,SG,25,BRK,52,1138,,52%,48%,,,-10.7,-6.1,27,14,55,9,15,5,127,2,24,2017
225,179,Manny Harris,SG,27,DAL,4,25,49%,51%,,,,-45.6,-42.6,2,0,1,0,2,0,5,0,3,2017
226,180,Tobias Harris,PF,24,DET,82,2567,,,28%,72%,,-0.7,2.1,33,43,76,13,102,4,332,26,47,2017
227,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2017
228,181,Aaron Harrison,SG,22,CHO,5,17,,42%,58%,,,-16.1,-16.6,0,0,1,0,1,0,8,0,0,2017
229,182,Andrew Harrison,PG,22,MEM,72,1474,67%,33%,,,,-0.2,-1.5,36,18,81,22,86,11,479,8,31,2017
230,183,Udonis Haslem,C,36,MIA,16,130,,,,3%,97%,-28.2,-30.4,1,2,10,4,6,3,13,1,1,2017
231,184,Spencer Hawes,PF,28,TOT,54,797,,,,60%,40%,-11.4,-13.0,26,7,50,11,21,1,180,7,16,2017
232,184,Spencer Hawes,PF,28,CHO,35,626,,,,71%,29%,-11.2,-13.9,19,6,40,10,12,0,139,3,15,2017
233,184,Spencer Hawes,PF,28,MIL,19,171,,,,17%,83%,-12.2,-12.8,7,1,10,1,9,1,41,4,1,2017
234,185,Gordon Hayward,SF,26,UTA,73,2516,,,71%,30%,,7.0,6.9,66,43,50,20,167,8,611,45,43,2017
235,186,Gerald Henderson,SG,29,PHI,72,1667,7%,93%,1%,,,-9.5,-6.0,29,21,41,11,55,10,282,14,25,2017
236,187,John Henson,C,26,MIL,58,1123,,,,6%,94%,-2.0,-2.9,13,17,83,9,38,11,133,7,18,2017
237,188,Juan Hernangómez,PF,21,DEN,62,842,,,18%,72%,10%,-2.2,-2.9,9,11,28,3,3,4,75,6,12,2017
238,189,Willy Hernangómez,C,22,NYK,72,1324,,,,2%,98%,-2.3,2.5,41,26,64,19,54,4,232,14,35,2017
239,190,Mario Hezonja,SF,21,ORL,65,960,,10%,73%,18%,,-15.5,-11.2,31,19,39,2,23,4,143,6,15,2017
240,191,Roy Hibbert,C,30,TOT,48,682,,,,,100%,-0.8,-1.1,7,10,55,12,32,1,54,3,12,2017
241,191,Roy Hibbert,C,30,CHO,42,671,,,,,100%,0.0,-0.5,7,10,54,11,32,1,52,3,12,2017
242,191,Roy Hibbert,C,30,DEN,6,11,,,,,100%,-48.9,-49.1,0,0,1,1,0,0,2,0,0,2017
243,192,Buddy Hield,SG,24,TOT,82,1888,1%,71%,27%,,,-6.0,-4.1,46,39,48,5,26,1,286,3,43,2017
244,192,Buddy Hield,SG,24,NOP,57,1161,1%,71%,28%,,,-7.2,-7.4,23,15,35,4,15,1,179,3,33,2017
