,Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,Unnamed: 9,2P_FGAxDist,0_3_FGAxDist,3_10_FGAxDist,10_16_FGAxDist,16_3P_FGAxDist,3P_FGAxDist,Unnamed: 16,2P_FGPxDist,0_3_FGPxDist,3_10_FGPxDist,10_16_FGPxDist,16_3P_FGPxDist,3P_FGPxDist,Unnamed: 23,2PAstP,3PAstP,Unnamed: 26,Dunks_FGA,Num_Dunks,Unnamed: 29,Corner_3PFGA,Corner_3PP,Unnamed: 32,Heaves_Att,Heaves_Made,Season
314,244,Chris Johnson,SF,24,TOT,29,526,.403,17.0,,.383,.247,.065,.032,.039,.617,,.576,.658,.400,.600,.333,.295,,.735,.929,,.013,2,,.526,.260,,0,0,2015
315,244,Chris Johnson,SF,24,PHI,9,187,.317,18.9,,.350,.200,.050,.033,.067,.650,,.429,.417,.667,.500,.250,.256,,.667,.900,,.000,0,,.308,.333,,0,0,2015
316,244,Chris Johnson,SF,24,UTA,12,211,.484,15.3,,.406,.266,.109,.031,.000,.594,,.692,.882,.286,.500,,.342,,.833,.923,,.031,2,,.789,.267,,0,0,2015
317,244,Chris Johnson,SF,24,MIL,8,128,.400,16.8,,.400,.300,.000,.033,.067,.600,,.583,.556,,1.000,.500,.278,,.571,1.000,,.000,0,,.444,.125,,0,0,2015
318,245,James Johnson,PF,27,TOR,70,1370,.589,6.8,,.874,.522,.248,.042,.062,.126,,.643,.777,.490,.235,.400,.216,,.458,1.000,,.126,50,,.471,.292,,0,0,2015
319,246,Joe Johnson,SG,33,BRK,80,2791,.435,15.0,,.671,.092,.281,.140,.159,.329,,.472,.596,.524,.399,.374,.359,,.231,.893,,.001,1,,.285,.333,,2,0,2015
320,247,Nick Johnson,SG,22,HOU,28,262,.347,10.1,,.720,.427,.240,.027,.027,.280,,.389,.469,.333,.000,.000,.238,,.476,.800,,.067,4,,.333,.286,,0,0,2015
321,248,Tyler Johnson,SG,22,MIA,32,603,.419,13.5,,.713,.293,.174,.066,.180,.287,,.437,.592,.310,.455,.300,.375,,.442,.944,,.084,10,,.250,.417,,1,0,2015
322,249,Wesley Johnson,SF,27,LAL,76,2245,.414,17.1,,.625,.156,.052,.107,.305,.375,,.451,.704,.444,.392,.346,.351,,.651,.923,,.055,35,,.336,.368,,1,0,2015
323,250,Dahntay Jones,SF,34,LAC,33,123,.286,12.6,,.810,.286,.095,.238,.190,.190,,.353,.833,.000,.000,.250,.000,,1.000,,,.000,0,,1.000,.000,,0,0,2015
324,251,James Jones,SF,34,CLE,57,669,.368,23.5,,.129,.015,.015,.035,.065,.871,,.423,.667,.333,.143,.538,.360,,.818,.984,,.000,0,,.349,.311,,0,0,2015
325,252,Perry Jones,SF,23,OKC,43,631,.397,13.6,,.674,.201,.293,.071,.109,.326,,.476,.676,.426,.538,.200,.233,,.644,1.000,,.043,8,,.250,.133,,2,0,2015
326,253,Terrence Jones,PF,23,HOU,33,889,.528,6.8,,.876,.508,.298,.037,.033,.124,,.553,.691,.416,.091,.200,.351,,.600,1.000,,.100,30,,.054,.000,,1,0,2015
327,254,DeAndre Jordan,C,26,LAC,82,2820,.710,1.2,,.993,.918,.071,.002,.000,.007,,.713,.739,.368,1.000,,.250,,.690,.000,,.532,252,,.000,,,0,0,2015
328,255,Jerome Jordan,C,28,BRK,44,383,.532,3.5,,1.000,.798,.074,.053,.074,.000,,.532,.587,.286,.400,.286,,,.680,,,.234,19,,,,,0,0,2015
329,256,Cory Joseph,PG,23,SAS,79,1444,.504,9.9,,.893,.392,.185,.134,.182,.107,,.520,.602,.474,.436,.453,.364,,.403,.938,,.002,0,,.568,.360,,3,0,2015
330,257,Chris Kaman,C,32,POR,74,1398,.515,7.8,,1.000,.366,.268,.179,.188,.000,,.515,.667,.395,.459,.447,,,.629,,,.027,15,,,,,0,0,2015
331,258,Enes Kanter,C,22,TOT,75,2135,.519,7.4,,.952,.503,.177,.089,.182,.048,,.528,.666,.409,.410,.320,.356,,.528,1.000,,.039,30,,.778,.343,,0,0,2015
332,258,Enes Kanter,C,22,UTA,49,1326,.491,8.4,,.930,.452,.175,.086,.216,.070,,.505,.673,.402,.360,.294,.317,,.538,1.000,,.045,20,,.756,.290,,0,0,2015
333,258,Enes Kanter,C,22,OKC,26,809,.566,5.6,,.988,.590,.179,.095,.124,.012,,.564,.657,.419,.485,.395,.750,,.513,1.000,,.029,10,,1.000,.750,,0,0,2015
334,259,Sergey Karasev,SG,21,BRK,33,555,.403,14.3,,.597,.284,.149,.060,.104,.403,,.475,.553,.450,.375,.357,.296,,.737,1.000,,.000,0,,.426,.217,,1,0,2015
335,260,Ryan Kelly,PF,23,LAL,52,1233,.337,16.4,,.566,.146,.142,.152,.126,.434,,.337,.644,.205,.255,.231,.336,,.678,.978,,.029,9,,.216,.552,,1,0,2015
336,Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,2015
337,261,Michael Kidd-Gilchrist,SF,21,CHO,55,1587,.465,8.0,,1.000,.477,.156,.071,.297,.000,,.465,.578,.280,.500,.371,,,.714,,,.056,26,,,,,0,0,2015
338,262,Sean Kilpatrick,SG,25,MIN,4,72,.350,16.9,,.350,.250,.000,.050,.050,.650,,.429,.400,,.000,1.000,.308,,.333,1.000,,.050,1,,.154,.500,,0,0,2015
339,263,Andrei Kirilenko,SF,33,BRK,7,36,.000,2.2,,1.000,.600,.400,.000,.000,.000,,.000,.000,.000,,,,,,,,.000,0,,,,,0,0,2015
340,264,Alex Kirk,C,23,CLE,5,14,.250,9.8,,1.000,.500,.000,.000,.500,.000,,.250,.500,,,.000,,,.000,,,.000,0,,,,,0,0,2015
341,265,Brandon Knight,PG-SG,23,TOT,63,2035,.422,15.1,,.639,.269,.075,.072,.222,.361,,.441,.577,.284,.313,.371,.389,,.296,.656,,.020,17,,.196,.413,,0,0,2015
342,265,Brandon Knight,PG,23,MIL,52,1688,.435,14.6,,.659,.291,.070,.077,.221,.341,,.448,.581,.269,.298,.382,.409,,.295,.635,,.020,14,,.209,.377,,0,0,2015
343,265,Brandon Knight,SG,23,PHO,11,347,.357,17.7,,.531,.154,.105,.049,.224,.469,,.395,.545,.333,.429,.313,.313,,.300,.762,,.021,3,,.149,.600,,0,0,2015
344,266,Kyle Korver,SG,33,ATL,75,2418,.487,22.2,,.252,.047,.022,.035,.148,.748,,.470,.679,.231,.429,.449,.492,,.915,.964,,.005,3,,.247,.541,,0,0,2015
345,267,Kosta Koufos,C,25,MEM,81,1348,.508,5.4,,1.000,.441,.399,.101,.059,.000,,.508,.620,.455,.333,.333,,,.753,,,.059,18,,,,,0,0,2015
346,268,Ognjen Kuzmić,C,24,GSW,16,72,.667,7.9,,1.000,.500,.000,.333,.167,.000,,.667,.667,,.500,1.000,,,.875,,,.083,1,,,,,0,0,2015
347,269,Jeremy Lamb,SG,22,OKC,47,633,.416,16.5,,.556,.160,.148,.108,.140,.444,,.475,.750,.459,.259,.343,.342,,.394,.763,,.020,5,,.135,.267,,2,0,2015
348,270,Carl Landry,PF,31,SAC,70,1192,.515,9.3,,1.000,.352,.203,.125,.320,.000,,.515,.700,.320,.565,.415,,,.716,,,.068,24,,,,,0,0,2015
349,271,Shane Larkin,PG,22,NYK,76,1865,.433,13.3,,.731,.282,.144,.086,.213,.269,,.481,.607,.355,.432,.424,.302,,.474,.800,,.000,0,,.086,.200,,0,0,2015
350,272,Joffrey Lauvergne,C,23,DEN,24,268,.404,8.4,,.820,.506,.180,.056,.079,.180,,.452,.667,.125,.000,.143,.188,,.636,1.000,,.112,9,,.438,.000,,1,0,2015
351,273,Zach LaVine,PG,19,MIN,77,1902,.422,14.1,,.753,.276,.117,.066,.292,.247,,.449,.631,.316,.333,.354,.341,,.349,.789,,.062,39,,.144,.375,,3,0,2015
352,274,Ty Lawson,PG,27,DEN,75,2665,.436,13.8,,.779,.253,.120,.164,.242,.221,,.463,.637,.351,.447,.348,.341,,.147,.614,,.001,0,,.093,.421,,6,0,2015
353,275,Ricky Ledo,SG,22,TOT,17,244,.333,11.8,,.719,.313,.260,.010,.135,.281,,.319,.467,.160,.000,.308,.370,,.409,.800,,.010,0,,.000,,,0,0,2015
354,275,Ricky Ledo,SG,22,DAL,5,11,.000,14.7,,.500,.167,.333,.000,.000,.500,,.000,.000,.000,,,.000,,,,,.000,0,,.000,,,0,0,2015
355,275,Ricky Ledo,SG,22,NYK,12,233,.356,11.6,,.733,.322,.256,.011,.144,.267,,.333,.483,.174,.000,.308,.417,,.409,.800,,.011,0,,.000,,,0,0,2015
356,276,Courtney Lee,SG,29,MEM,77,2354,.448,16.2,,.652,.156,.103,.145,.249,.348,,.473,.650,.273,.452,.456,.402,,.601,.989,,.002,1,,.353,.392,,2,0,2015
357,277,David Lee,PF,31,GSW,49,904,.511,6.1,,.994,.482,.326,.080,.105,.006,,.514,.689,.314,.560,.303,.000,,.706,,,.077,23,,.000,,,1,0,2015
358,278,Malcolm Lee,SG,24,PHI,1,2,.000,5.0,,1.000,.000,1.000,.000,.000,.000,,.000,,.000,,,,,,,,.000,0,,,,,0,0,2015
359,279,Alex Len,C,21,PHO,69,1518,.507,6.2,,.992,.544,.164,.167,.116,.008,,.509,.677,.293,.288,.341,.333,,.663,1.000,,.204,66,,.333,1.000,,0,0,2015
360,280,Kawhi Leonard,SF,23,SAS,64,2033,.479,13.1,,.766,.212,.180,.187,.187,.234,,.519,.724,.426,.481,.416,.349,,.450,.970,,.066,49,,.385,.459,,0,0,2015
361,Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,2015
362,281,Meyers Leonard,C,22,POR,55,847,.510,15.7,,.543,.212,.147,.082,.102,.457,,.586,.731,.528,.450,.480,.420,,.795,.936,,.102,22,,.232,.577,,1,0,2015
363,282,Jon Leuer,PF,25,MEM,63,824,.443,11.2,,.894,.319,.143,.150,.282,.106,,.467,.701,.256,.439,.325,.241,,.781,1.000,,.062,15,,.345,.400,,0,0,2015
364,283,Damian Lillard,PG,24,POR,82,2925,.434,15.3,,.579,.285,.088,.060,.147,.421,,.500,.642,.261,.444,.390,.343,,.241,.510,,.024,30,,.119,.353,,2,0,2015
365,284,Jeremy Lin,PG,26,LAL,74,1907,.424,13.2,,.731,.278,.148,.118,.182,.269,,.444,.604,.330,.390,.319,.369,,.297,.585,,.000,0,,.091,.375,,1,0,2015
366,285,Shaun Livingston,PG,29,GSW,78,1468,.500,8.8,,.995,.270,.237,.417,.071,.005,,.503,.701,.362,.461,.464,.000,,.460,,,.111,40,,.000,,,1,0,2015
367,286,Brook Lopez,C,26,BRK,72,2100,.513,8.4,,.990,.309,.340,.153,.187,.010,,.517,.662,.458,.470,.422,.100,,.648,1.000,,.040,37,,.400,.000,,0,0,2015
368,287,Robin Lopez,C,26,POR,59,1638,.535,5.0,,.998,.542,.286,.098,.071,.002,,.537,.650,.408,.395,.387,.000,,.705,,,.094,38,,.000,,,0,0,2015
369,288,Kevin Love,PF,26,CLE,75,2532,.434,14.8,,.588,.213,.181,.080,.114,.412,,.480,.611,.366,.408,.468,.367,,.691,.986,,.030,27,,.321,.365,,0,0,2015
370,289,Kyle Lowry,PG,28,TOR,70,2414,.412,15.6,,.625,.199,.140,.096,.190,.375,,.457,.630,.404,.320,.384,.338,,.262,.576,,.000,0,,.148,.345,,2,0,2015
371,290,Kalin Lucas,PG,25,MEM,1,6,.000,14.0,,1.000,.000,.000,1.000,.000,.000,,.000,,,.000,,,,,,,.000,0,,,,,0,0,2015
372,291,John Lucas III,PG,32,DET,21,272,.404,17.3,,.721,.077,.135,.163,.346,.279,,.440,.500,.286,.471,.472,.310,,.182,.778,,.000,0,,.138,.500,,0,0,2015
373,292,Shelvin Mack,PG,24,ATL,55,833,.401,15.9,,.565,.199,.137,.092,.137,.435,,.467,.569,.375,.444,.425,.315,,.442,.800,,.000,0,,.165,.476,,0,0,2015
374,293,Ian Mahinmi,C,28,IND,61,1146,.552,4.1,,1.000,.580,.302,.038,.075,.000,,.552,.691,.391,.375,.188,,,.607,,,.156,29,,,,,0,0,2015
375,294,Devyn Marble,SG,22,ORL,16,208,.318,14.6,,.500,.273,.136,.045,.045,.500,,.455,.333,.667,.500,.500,.182,,.500,1.000,,.045,2,,.545,.083,,0,0,2015
376,295,Shawn Marion,SF,36,CLE,57,1101,.446,8.0,,.828,.397,.322,.094,.015,.172,,.484,.623,.384,.320,.000,.261,,.766,1.000,,.101,26,,.761,.286,,0,0,2015
377,296,Kendall Marshall,PG,23,MIL,28,417,.455,15.7,,.545,.218,.129,.099,.099,.455,,.509,.682,.308,.500,.400,.391,,.357,.722,,.000,0,,.196,.111,,0,0,2015
378,297,Cartier Martin,SF,30,DET,23,198,.283,20.8,,.377,.094,.075,.019,.189,.623,,.450,.600,.250,.000,.500,.182,,.667,.833,,.000,0,,.303,.100,,1,0,2015
379,298,Kenyon Martin,PF,37,MIL,11,104,.409,6.6,,1.000,.500,.227,.045,.227,.000,,.409,.455,.400,.000,.400,,,.889,,,.182,3,,,,,0,0,2015
380,299,Kevin Martin,SG,31,MIN,39,1302,.427,16.3,,.694,.099,.112,.176,.291,.306,,.442,.661,.343,.464,.407,.393,,.547,.853,,.013,8,,.194,.568,,0,0,2015
381,300,Wesley Matthews,SG,28,POR,60,2024,.448,18.1,,.408,.146,.105,.069,.088,.592,,.534,.600,.570,.462,.439,.389,,.451,.873,,.013,10,,.290,.403,,0,0,2015
382,Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,2015
383,301,Jason Maxiell,PF,31,CHO,61,878,.422,7.5,,1.000,.349,.302,.229,.120,.000,,.422,.552,.431,.273,.304,,,.753,,,.078,11,,,,,0,0,2015
384,302,O.J. Mayo,SG,27,MIL,71,1697,.422,15.6,,.605,.200,.108,.110,.187,.395,,.465,.621,.421,.403,.359,.357,,.624,.919,,.013,9,,.430,.437,,1,0,2015
385,303,Luc Mbah a Moute,PF,28,PHI,67,1916,.395,14.3,,.682,.305,.086,.038,.253,.318,,.435,.562,.236,.292,.373,.307,,.630,.968,,.027,15,,.163,.333,,1,0,2015
386,304,James Michael McAdoo,PF,22,GSW,15,137,.545,2.5,,1.000,.705,.250,.023,.023,.000,,.545,.710,.091,1.000,.000,,,.833,,,.295,11,,,,,0,0,2015
387,305,Ray McCallum,PG,23,SAC,68,1436,.438,11.9,,.764,.313,.177,.106,.168,.236,,.479,.626,.386,.440,.329,.306,,.355,.794,,.030,11,,.441,.245,,1,0,2015
388,306,CJ McCollum,SG,23,POR,62,973,.436,15.3,,.619,.214,.118,.115,.173,.381,,.460,.551,.465,.429,.365,.396,,.288,.855,,.016,5,,.338,.404,,0,0,2015
389,307,K.J. McDaniels,SG,21,TOT,62,1352,.396,12.2,,.654,.376,.131,.065,.083,.346,,.454,.577,.316,.214,.306,.287,,.519,.977,,.113,42,,.193,.310,,0,0,2015
390,307,K.J. McDaniels,SG,21,PHI,52,1319,.399,12.2,,.649,.377,.134,.062,.076,.351,,.456,.570,.321,.192,.344,.293,,.524,.977,,.115,41,,.197,.310,,0,0,2015
391,307,K.J. McDaniels,SG,21,HOU,10,33,.333,12.5,,.800,.333,.067,.133,.267,.200,,.417,.800,.000,.500,.000,.000,,.400,,,.067,1,,.000,,,0,0,2015
392,308,Doug McDermott,SF,23,CHI,36,321,.402,13.3,,.617,.402,.075,.028,.112,.383,,.455,.558,.125,.000,.417,.317,,.767,.923,,.028,2,,.171,.286,,0,0,2015
393,309,Mitch McGary,PF,22,OKC,32,485,.533,5.5,,.988,.558,.206,.152,.073,.012,,.540,.685,.353,.400,.250,.000,,.739,,,.097,14,,.500,.000,,0,0,2015
394,310,JaVale McGee,C,27,TOT,23,256,.532,4.5,,1.000,.557,.266,.127,.051,.000,,.532,.727,.429,.100,.000,,,.810,,,.266,18,,,,,0,0,2015
395,310,JaVale McGee,C,27,DEN,17,195,.557,3.5,,1.000,.590,.311,.082,.016,.000,,.557,.694,.421,.200,.000,,,.824,,,.262,13,,,,,0,0,2015
396,310,JaVale McGee,C,27,PHI,6,61,.444,7.8,,1.000,.444,.111,.278,.167,.000,,.444,.875,.500,.000,.000,,,.750,,,.278,5,,,,,0,0,2015
397,311,Ben McLemore,SG,21,SAC,82,2670,.437,16.1,,.529,.217,.123,.048,.142,.471,,.507,.711,.294,.425,.407,.358,,.628,.914,,.079,60,,.366,.413,,5,0,2015
398,312,Jerel McNeal,PG,27,PHO,6,36,.273,12.5,,.818,.182,.364,.091,.182,.182,,.222,.000,.250,1.000,.000,.500,,.500,1.000,,.000,0,,.000,,,0,0,2015
399,313,Josh McRoberts,PF,27,MIA,17,296,.528,11.8,,.642,.415,.132,.038,.057,.358,,.588,.682,.571,.500,.000,.421,,.600,.875,,.151,8,,.000,,,0,0,2015
400,314,Jodie Meeks,SG,27,DET,60,1462,.416,15.8,,.603,.189,.135,.103,.176,.397,,.460,.614,.347,.473,.372,.349,,.845,.932,,.007,4,,.217,.348,,0,0,2015
401,315,Gal Mekel,PG,26,NOP,4,43,.150,11.4,,.850,.200,.300,.150,.200,.150,,.176,.500,.167,.000,.000,.000,,.333,,,.000,0,,.333,.000,,0,0,2015
402,316,Khris Middleton,SF,23,MIL,79,2378,.467,15.3,,.692,.176,.112,.159,.245,.308,,.494,.621,.474,.449,.441,.407,,.596,.982,,.018,16,,.399,.523,,0,0,2015
403,317,C.J. Miles,SG,27,IND,70,1841,.398,18.8,,.461,.141,.067,.086,.167,.539,,.459,.650,.309,.394,.391,.345,,.634,.909,,.045,32,,.251,.366,,5,0,2015
404,318,Andre Miller,PG,38,TOT,81,1253,.500,9.2,,.883,.362,.262,.166,.093,.117,,.539,.629,.461,.417,.630,.206,,.290,.714,,.000,0,,.147,.200,,2,0,2015
405,318,Andre Miller,PG,38,WAS,51,631,.542,7.1,,.944,.479,.239,.148,.077,.056,,.567,.632,.441,.524,.636,.125,,.276,1.000,,.000,0,,.000,,,1,0,2015
406,318,Andre Miller,PG,38,SAC,30,622,.459,11.3,,.824,.250,.284,.182,.108,.176,,.508,.622,.476,.333,.625,.231,,.306,.667,,.000,0,,.192,.200,,1,0,2015
407,319,Darius Miller,SF,24,NOP,5,43,.143,15.4,,.857,.000,.286,.286,.286,.143,,.167,,.500,.000,.000,.000,,.000,,,.000,0,,.000,,,0,0,2015
408,320,Mike Miller,SF,34,CLE,52,701,.325,23.8,,.140,.018,.018,.044,.061,.860,,.313,1.000,.500,.000,.286,.327,,.200,1.000,,.000,0,,.347,.353,,0,0,2015
409,Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,2015
410,321,Quincy Miller,PF,22,TOT,10,119,.237,16.5,,.526,.184,.184,.000,.158,.474,,.300,.286,.286,,.333,.167,,.333,1.000,,.000,0,,.167,.333,,0,0,2015
411,321,Quincy Miller,PF,22,SAC,6,61,.222,14.6,,.611,.222,.222,.000,.167,.389,,.273,.500,.250,,.000,.143,,.333,1.000,,.000,0,,.429,.333,,0,0,2015
412,321,Quincy Miller,PF,22,DET,4,58,.250,18.2,,.450,.150,.150,.000,.150,.550,,.333,.000,.333,,.667,.182,,.333,1.000,,.000,0,,.000,,,0,0,2015
413,322,Patty Mills,PG,26,SAS,51,801,.381,19.1,,.458,.122,.063,.057,.217,.542,,.429,.561,.286,.263,.438,.341,,.515,.855,,.000,0,,.253,.370,,1,0,2015
414,323,Elijah Millsap,SG,27,UTA,47,924,.340,13.6,,.622,.307,.168,.067,.080,.378,,.358,.479,.275,.188,.211,.311,,.340,.964,,.025,5,,.333,.367,,2,0,2015
415,324,Paul Millsap,PF,29,ATL,73,2390,.476,10.3,,.768,.375,.216,.086,.090,.232,,.513,.639,.428,.275,.417,.356,,.590,.948,,.057,44,,.241,.442,,0,0,2015
416,325,Nikola Mirotić,PF,23,CHI,82,1654,.405,15.8,,.498,.260,.075,.056,.095,.502,,.495,.648,.191,.343,.424,.316,,.545,.909,,.027,15,,.284,.326,,1,0,2015
417,326,Nazr Mohammed,C,37,CHI,23,128,.433,7.8,,1.000,.400,.167,.200,.200,.000,,.433,.667,.400,.167,.167,,,.615,,,.033,1,,,,,0,0,2015
418,327,Greg Monroe,PF,24,DET,69,2137,.496,4.0,,1.000,.530,.392,.033,.043,.000,,.496,.613,.365,.321,.351,,,.499,,,.027,22,,,,,0,0,2015
419,328,E'Twaun Moore,SG,25,CHI,56,504,.446,13.2,,.727,.201,.230,.173,.122,.273,,.485,.607,.531,.417,.294,.342,,.490,.846,,.007,1,,.421,.375,,0,0,2015
420,329,Eric Moreland,PF,23,SAC,3,2,1.000,6.0,,1.000,.000,1.000,.000,.000,.000,,1.000,,1.000,,,,,.000,,,.000,0,,,,,0,0,2015
421,330,Darius Morris,PG,24,BRK,38,299,.340,13.3,,.689,.311,.123,.132,.123,.311,,.397,.545,.385,.214,.231,.212,,.241,.857,,.009,1,,.333,.091,,0,0,2015
422,331,Marcus Morris,PF,25,PHO,81,2045,.434,16.7,,.590,.155,.096,.155,.185,.410,,.487,.593,.384,.483,.454,.358,,.443,.902,,.014,10,,.329,.408,,7,1,2015
423,332,Markieff Morris,PF,25,PHO,82,2581,.465,12.5,,.837,.229,.163,.246,.199,.163,,.494,.611,.436,.502,.397,.318,,.523,.982,,.053,48,,.145,.269,,2,0,2015
424,333,Anthony Morrow,SG,29,OKC,74,1806,.463,18.1,,.472,.081,.111,.146,.132,.528,,.497,.640,.500,.433,.481,.434,,.590,.972,,.000,0,,.357,.500,,0,0,2015
425,334,Donatas Motiejūnas,PF,24,HOU,71,2037,.504,8.8,,.810,.280,.466,.051,.013,.190,,.536,.643,.500,.361,.222,.368,,.595,.980,,.026,17,,.429,.351,,1,0,2015
426,335,Timofey Mozgov,C,28,TOT,81,2045,.555,4.9,,.989,.597,.212,.065,.115,.011,,.557,.692,.333,.270,.431,.333,,.756,1.000,,.253,128,,.833,.400,,0,0,2015
427,335,Timofey Mozgov,C,28,DEN,35,897,.504,6.1,,.974,.543,.185,.099,.147,.026,,.509,.635,.395,.174,.412,.333,,.704,1.000,,.194,37,,.833,.400,,0,0,2015
428,335,Timofey Mozgov,C,28,CLE,46,1148,.590,4.1,,1.000,.635,.231,.042,.093,.000,,.590,.726,.299,.429,.452,,,.787,,,.293,91,,,,,0,0,2015
429,336,Shabazz Muhammad,SG,22,MIN,38,866,.489,9.1,,.872,.365,.264,.134,.108,.128,,.503,.676,.448,.283,.326,.392,,.638,.950,,.108,38,,.431,.409,,0,0,2015
430,337,Toure' Murry,SG-PG,25,TOT,5,18,.400,9.6,,1.000,.400,.200,.000,.400,.000,,.400,1.000,.000,,.000,,,.500,,,.200,1,,,,,0,0,2015
431,337,Toure' Murry,PG,25,UTA,1,1,.000,20.0,,1.000,.000,.000,.000,1.000,.000,,.000,,,,.000,,,,,,.000,0,,,,,0,0,2015
432,337,Toure' Murry,SG,25,WAS,4,17,.500,7.0,,1.000,.500,.250,.000,.250,.000,,.500,1.000,.000,,.000,,,.500,,,.250,1,,,,,0,0,2015
433,338,Mike Muscala,PF,23,ATL,40,502,.550,10.5,,.854,.364,.139,.126,.225,.146,,.574,.673,.429,.632,.471,.409,,.730,1.000,,.106,13,,.409,.444,,0,0,2015
434,339,Shabazz Napier,PG,23,MIA,51,1012,.382,18.5,,.482,.154,.061,.053,.215,.518,,.400,.457,.143,.500,.408,.364,,.205,.791,,.000,0,,.246,.379,,1,0,2015
435,340,Gary Neal,SG,30,TOT,54,1193,.374,16.8,,.674,.109,.133,.141,.290,.326,,.407,.364,.328,.521,.404,.305,,.377,.580,,.000,0,,.122,.250,,0,0,2015
436,340,Gary Neal,SG,30,CHO,43,931,.359,16.5,,.666,.126,.148,.138,.254,.334,,.392,.320,.339,.509,.396,.293,,.317,.590,,.000,0,,.113,.200,,0,0,2015
437,340,Gary Neal,SG,30,MIN,11,262,.429,18.1,,.705,.048,.076,.152,.429,.295,,.459,.800,.250,.563,.422,.355,,.559,.545,,.000,0,,.161,.400,,0,0,2015
438,Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,2015
439,341,Jameer Nelson,PG,32,TOT,63,1407,.407,18.2,,.488,.149,.105,.050,.185,.512,,.472,.693,.321,.440,.387,.345,,.259,.551,,.000,0,,.097,.480,,0,0,2015
440,341,Jameer Nelson,PG,32,DAL,23,584,.374,19.2,,.368,.117,.129,.012,.110,.632,,.383,.737,.286,.000,.167,.369,,.304,.579,,.000,0,,.126,.231,,0,0,2015
441,341,Jameer Nelson,PG,32,BOS,6,121,.220,19.4,,.390,.146,.073,.049,.122,.610,,.250,.333,.333,.000,.200,.200,,.000,.400,,.000,0,,.040,.000,,0,0,2015
442,341,Jameer Nelson,PG,32,DEN,34,702,.450,17.6,,.567,.167,.097,.070,.233,.433,,.524,.720,.345,.524,.457,.354,,.258,.543,,.000,0,,.085,.818,,0,0,2015
443,342,Andrew Nicholson,PF,25,ORL,40,492,.437,14.5,,.784,.147,.221,.116,.300,.216,,.470,.750,.357,.364,.456,.317,,.743,.923,,.037,7,,.317,.231,,0,0,2015
444,343,Joakim Noah,C,29,CHI,67,2049,.445,5.8,,.995,.609,.176,.019,.180,.005,,.447,.515,.360,.500,.325,.000,,.637,,,.063,25,,.000,,,2,0,2015
445,344,Nerlens Noel,C,20,PHI,75,2311,.462,5.5,,1.000,.462,.329,.124,.084,.000,,.462,.662,.288,.309,.273,,,.672,,,.193,118,,,,,0,0,2015
446,345,Lucas Nogueira,C,22,TOR,6,23,.250,5.0,,1.000,.625,.125,.125,.125,.000,,.250,.400,.000,.000,.000,,,1.000,,,.375,2,,,,,0,0,2015
447,346,Steve Novak,SF-PF,31,TOT,35,197,.393,24.5,,.143,.000,.000,.000,.143,.857,,.375,,,,.375,.396,,1.000,1.000,,.000,0,,.271,.385,,0,0,2015
448,346,Steve Novak,SF,31,UTA,22,109,.457,25.1,,.057,.000,.000,.000,.057,.943,,.000,,,,.000,.485,,,1.000,,.000,0,,.182,.500,,0,0,2015
449,346,Steve Novak,PF,31,OKC,13,88,.286,23.5,,.286,.000,.000,.000,.286,.714,,.500,,,,.500,.200,,1.000,1.000,,.000,0,,.467,.286,,0,0,2015
450,347,Dirk Nowitzki,PF,36,DAL,77,2282,.459,16.9,,.742,.066,.070,.283,.323,.258,,.486,.700,.365,.478,.475,.380,,.640,.981,,.004,4,,.040,.364,,0,0,2015
451,348,Jusuf Nurkić,C,20,DEN,62,1103,.446,4.9,,.995,.480,.402,.023,.089,.005,,.449,.582,.312,.333,.382,.000,,.673,,,.055,17,,.500,.000,,0,0,2015
452,349,Johnny O'Bryant,PF,21,MIL,34,368,.367,10.8,,1.000,.292,.150,.150,.408,.000,,.367,.543,.278,.333,.286,,,.750,,,.008,1,,,,,0,0,2015
453,350,Kyle O'Quinn,PF,24,ORL,51,824,.492,11.8,,.822,.285,.202,.103,.231,.178,,.538,.768,.490,.400,.357,.279,,.626,1.000,,.054,13,,.140,.500,,1,0,2015
