,Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,Unnamed: 9,2P_FGAxDist,0_3_FGAxDist,3_10_FGAxDist,10_16_FGAxDist,16_3P_FGAxDist,3P_FGAxDist,Unnamed: 16,2P_FGPxDist,0_3_FGPxDist,3_10_FGPxDist,10_16_FGPxDist,16_3P_FGPxDist,3P_FGPxDist,Unnamed: 23,2PAstP,3PAstP,Unnamed: 26,Dunks_FGA,Num_Dunks,Unnamed: 29,Corner_3PFGA,Corner_3PP,Unnamed: 32,Heaves_Att,Heaves_Made,Season
107,86,Michael Carter-Williams,PG,23,MIL,25,758,.429,9.0,,.909,.364,.247,.136,.162,.091,,.457,.545,.408,.524,.280,.143,,.195,1.000,,.045,12,,.286,.250,,1,0,2015
108,87,Omri Casspi,SF,26,SAC,67,1416,.489,8.5,,.796,.382,.358,.035,.021,.204,,.512,.724,.340,.133,.222,.402,,.667,.914,,.063,25,,.149,.385,,0,0,2015
109,88,Mario Chalmers,PG,28,MIA,80,2368,.403,13.6,,.626,.305,.166,.065,.089,.374,,.467,.530,.418,.419,.373,.294,,.361,.932,,.006,4,,.375,.366,,7,1,2015
110,89,Tyson Chandler,C,32,DAL,75,2286,.666,2.9,,1.000,.805,.086,.030,.080,.000,,.666,.746,.237,.462,.400,,,.727,,,.432,179,,,,,0,0,2015
111,90,Wilson Chandler,SF,27,DEN,78,2471,.429,14.3,,.584,.262,.177,.061,.084,.416,,.490,.651,.387,.339,.317,.342,,.452,.935,,.038,32,,.244,.343,,1,0,2015
112,91,Will Cherry,PG,23,CLE,8,69,.263,14.1,,.526,.316,.158,.000,.053,.474,,.300,.333,.333,,.000,.222,,.333,1.000,,.000,0,,.333,.333,,0,0,2015
113,92,Patrick Christopher,SG,26,UTA,4,29,.250,16.0,,.667,.250,.083,.000,.333,.333,,.375,.333,.000,,.500,.000,,.000,,,.000,0,,.250,.000,,0,0,2015
114,93,Earl Clark,PF,27,BRK,10,93,.367,19.3,,.533,.133,.000,.033,.367,.467,,.438,.750,,.000,.364,.286,,.571,1.000,,.000,0,,.143,.000,,0,0,2015
115,94,Ian Clark,SG,23,TOT,30,192,.345,17.4,,.455,.164,.127,.073,.091,.545,,.360,.778,.143,.250,.000,.333,,.444,1.000,,.000,0,,.400,.500,,0,0,2015
116,94,Ian Clark,SG,23,UTA,23,161,.341,17.8,,.432,.159,.114,.068,.091,.568,,.316,.714,.200,.000,.000,.360,,.500,1.000,,.000,0,,.400,.600,,0,0,2015
